Data,Abertura
04.12.2020,13230.61
03.12.2020,13304.83
02.12.2020,13341.91
01.12.2020,13371.66
30.11.2020,13270.51
27.11.2020,13280.51
26.11.2020,13315.21
25.11.2020,13346.77
24.11.2020,13254.42
23.11.2020,13215.44
20.11.2020,13054.64
19.11.2020,13101.71
18.11.2020,13086.43
17.11.2020,13130.54
16.11.2020,13170.52
13.11.2020,13036.97
12.11.2020,13073.48
11.11.2020,13205.95
10.11.2020,13109.77
09.11.2020,12713.19
06.11.2020,12531.74
05.11.2020,12420.88
04.11.2020,11896.11
03.11.2020,11858.81
02.11.2020,11644.15
30.10.2020,11472.61
29.10.2020,11631.07
28.10.2020,11848.31
27.10.2020,12206.42
26.10.2020,12303.41
23.10.2020,12517.98
22.10.2020,12429.41
21.10.2020,12764.45
20.10.2020,12819.15
19.10.2020,12948.63
16.10.2020,12773.35
15.10.2020,12826.13
14.10.2020,13012.69
13.10.2020,13132.9
12.10.2020,13086.06
09.10.2020,13070.04
08.10.2020,13011.23
07.10.2020,12901.29
06.10.2020,12858.97
05.10.2020,12824.05
02.10.2020,12558.78
01.10.2020,12812.08
30.09.2020,12754.77
29.09.2020,12817.79
28.09.2020,12673.73
25.09.2020,12615.91
24.09.2020,12520.47
23.09.2020,12737.32
22.09.2020,12629.71
21.09.2020,12998.9
18.09.2020,13210.86
17.09.2020,13060.18
16.09.2020,13224.16
15.09.2020,13220.81
14.09.2020,13329.61
11.09.2020,13198.74
10.09.2020,13265.51
09.09.2020,12990.52
08.09.2020,13126.23
07.09.2020,12931.4
04.09.2020,12916.12
