Data,Abertura
03.09.2020,13354.72
02.09.2020,13071.66
01.09.2020,13037.2
31.08.2020,13103.93
28.08.2020,13140.6
27.08.2020,13206.58
26.08.2020,13041.83
25.08.2020,13136.77
24.08.2020,12945.97
21.08.2020,12879.45
20.08.2020,12829.39
19.08.2020,12838.63
18.08.2020,12836.87
17.08.2020,12924.88
14.08.2020,12965.22
13.08.2020,13044.47
12.08.2020,12917.34
11.08.2020,12806.97
10.08.2020,12729.1
07.08.2020,12634.79
06.08.2020,12664.55
05.08.2020,12667.12
04.08.2020,12744.13
03.08.2020,12374.46
31.07.2020,12403.1
30.07.2020,12762.12
29.07.2020,12819.63
28.07.2020,12886.23
27.07.2020,12865.75
24.07.2020,12919.31
23.07.2020,13183.5
22.07.2020,13165.29
21.07.2020,13194.93
20.07.2020,12898.11
17.07.2020,12915.27
16.07.2020,12857.3
15.07.2020,12812.11
14.07.2020,12642.23
13.07.2020,12817.19
10.07.2020,12442.22
09.07.2020,12639.17
08.07.2020,12542.58
07.07.2020,12660.09
06.07.2020,12774.77
03.07.2020,12644.6
02.07.2020,12378.8
01.07.2020,12391.72
30.06.2020,12287.94
29.06.2020,12090.41
26.06.2020,12308.48
25.06.2020,12102.25
24.06.2020,12459.81
23.06.2020,12360.09
22.06.2020,12194.48
19.06.2020,12375.18
18.06.2020,12347.49
17.06.2020,12312.44
16.06.2020,12168.37
15.06.2020,11661.36
12.06.2020,11876.34
11.06.2020,12223.42
10.06.2020,12719.15
09.06.2020,12859.83
08.06.2020,12722.68
05.06.2020,12565.16
04.06.2020,12390.03
03.06.2020,12147.12
02.06.2020,11896.7
29.05.2020,11649.37
28.05.2020,11746.78
27.05.2020,11530.2
26.05.2020,11488.99
25.05.2020,11186.04
22.05.2020,10896.28
21.05.2020,11088.12
20.05.2020,11029.33
19.05.2020,11200.92
18.05.2020,10683.86
15.05.2020,10470.85
14.05.2020,10418.04
13.05.2020,10669.99
12.05.2020,10777.74
11.05.2020,10948.24
08.05.2020,10882.44
07.05.2020,10640.77
06.05.2020,10716.51
05.05.2020,10627.07
04.05.2020,10543.36
30.04.2020,11195.21
29.04.2020,10812.74
28.04.2020,10658.47
27.04.2020,10551.07
24.04.2020,10299.31
23.04.2020,10437.38
22.04.2020,10370.25
21.04.2020,10519.44
20.04.2020,10704.35
17.04.2020,10607.35
16.04.2020,10420.26
15.04.2020,10678.19
14.04.2020,10733.97
09.04.2020,10490.65
