Data,Abertura
04.12.2020,29945
03.12.2020,29886
02.12.2020,29765
01.12.2020,29680
30.11.2020,29914
27.11.2020,29862
26.11.2020,29847
25.11.2020,30029
24.11.2020,29560
23.11.2020,29133
20.11.2020,29270
19.11.2020,29370
18.11.2020,29693
17.11.2020,29892
16.11.2020,29435
13.11.2020,29060
12.11.2020,29366
11.11.2020,29360
10.11.2020,29092
09.11.2020,28386
06.11.2020,28319
05.11.2020,27832
04.11.2020,27401
03.11.2020,26852
02.11.2020,26372
30.10.2020,26303
29.10.2020,26482
28.10.2020,27241
27.10.2020,27581
26.10.2020,28150
23.10.2020,28313
22.10.2020,28130
21.10.2020,28187
20.10.2020,28182
19.10.2020,28496
16.10.2020,28417
15.10.2020,28405
14.10.2020,28577
13.10.2020,28807
12.10.2020,28518
09.10.2020,28378
08.10.2020,28179
07.10.2020,27568
06.10.2020,28010
05.10.2020,27740
02.10.2020,27680
01.10.2020,27606
30.09.2020,27354
29.09.2020,27498
28.09.2020,27060
25.09.2020,26772
24.09.2020,26690
23.09.2020,27219
22.09.2020,27000
21.09.2020,27568
18.09.2020,27900
17.09.2020,28069
16.09.2020,28037
15.09.2020,27978
14.09.2020,27706
11.09.2020,27564
10.09.2020,27944
09.09.2020,27376
08.09.2020,28136
07.09.2020,28064
06.09.2020,28063.5
04.09.2020,28301
03.09.2020,29076
02.09.2020,28637
01.09.2020,28379
31.08.2020,28679
28.08.2020,28515
27.08.2020,28312
26.08.2020,28215
25.08.2020,28244
24.08.2020,27900
21.08.2020,27676
20.08.2020,27645
19.08.2020,27744
18.08.2020,27779
17.08.2020,27840
14.08.2020,27828
13.08.2020,27858
12.08.2020,27700
11.08.2020,27690
10.08.2020,27364
07.08.2020,27292
06.08.2020,27067
05.08.2020,26749
04.08.2020,26561
03.08.2020,26400
31.07.2020,26414
30.07.2020,26454
29.07.2020,26295
28.07.2020,26512
27.07.2020,26275
24.07.2020,26548
23.07.2020,26885
22.07.2020,26727
21.07.2020,26625
20.07.2020,26541
17.07.2020,26565
16.07.2020,26814
15.07.2020,26644
14.07.2020,25986
13.07.2020,26025
10.07.2020,25589
09.07.2020,25995
08.07.2020,25770
07.07.2020,26167
06.07.2020,25689
03.07.2020,25735.5
02.07.2020,25549
01.07.2020,25653
30.06.2020,25479
29.06.2020,24777
26.06.2020,25540
25.06.2020,25379
24.06.2020,25986
23.06.2020,25955
22.06.2020,25370
19.06.2020,26059
18.06.2020,26141
17.06.2020,26249
16.06.2020,25834
15.06.2020,25176
12.06.2020,25200
11.06.2020,26954
10.06.2020,27257
09.06.2020,27562
08.06.2020,27124
05.06.2020,26283
04.06.2020,26265
03.06.2020,25701
02.06.2020,25458
01.06.2020,25231
29.05.2020,25448
28.05.2020,25543
27.05.2020,25007
26.05.2020,24411
25.05.2020,24547
24.05.2020,24442.5
22.05.2020,24377
21.05.2020,24545
20.05.2020,24125
19.05.2020,24479
18.05.2020,23600
15.05.2020,23526
14.05.2020,23232
13.05.2020,23494
12.05.2020,24105
11.05.2020,24228
08.05.2020,23855
07.05.2020,23493
06.05.2020,23762
05.05.2020,23587
04.05.2020,23364
01.05.2020,24052
30.04.2020,24676
29.04.2020,24036
28.04.2020,24015
27.04.2020,23647
24.04.2020,23332
23.04.2020,23375
22.04.2020,22976
21.04.2020,23457
20.04.2020,24088
17.04.2020,24072
16.04.2020,23332
15.04.2020,23911
14.04.2020,23320
13.04.2020,23839
10.04.2020,23676
09.04.2020,23298
08.04.2020,22479
07.04.2020,22496
06.04.2020,20944
03.04.2020,21272
02.04.2020,20819
01.04.2020,21702
31.03.2020,22186
30.03.2020,20926
27.03.2020,22520
26.03.2020,21058
25.03.2020,20679
24.03.2020,18584
23.03.2020,18504
20.03.2020,19712
19.03.2020,19996
18.03.2020,20791
17.03.2020,20381
16.03.2020,22867
13.03.2020,20769
12.03.2020,23565
11.03.2020,24838
10.03.2020,23727
09.03.2020,25356
06.03.2020,26143
05.03.2020,26921
04.03.2020,25809
03.03.2020,26562
02.03.2020,25196
28.02.2020,25522
27.02.2020,26820
26.02.2020,27124
25.02.2020,27927
24.02.2020,28745
21.02.2020,29154
20.02.2020,29366
19.02.2020,29240
18.02.2020,29384
17.02.2020,29441
16.02.2020,29379.5
14.02.2020,29446
13.02.2020,29529
12.02.2020,29261
11.02.2020,29237
10.02.2020,29021
07.02.2020,29357
06.02.2020,29248
05.02.2020,28776
04.02.2020,28366
03.02.2020,28159
31.01.2020,28838
30.01.2020,28718
29.01.2020,28736
28.01.2020,28479
27.01.2020,28720
24.01.2020,29129
23.01.2020,29112
22.01.2020,29177
21.01.2020,29280
20.01.2020,29307.5
19.01.2020,29272
17.01.2020,29245
16.01.2020,29034
15.01.2020,28934
14.01.2020,28874
13.01.2020,28775
10.01.2020,28930
09.01.2020,28772
08.01.2020,28502
07.01.2020,28636
06.01.2020,28494
03.01.2020,28844
02.01.2020,28553
01.01.2020,28548
31.12.2019,28427
30.12.2019,28618
27.12.2019,28603
26.12.2019,28518
25.12.2019,28508
24.12.2019,28560
23.12.2019,28491
20.12.2019,28390
19.12.2019,28275
18.12.2019,28257
17.12.2019,28235
16.12.2019,28192
13.12.2019,28181
12.12.2019,27933
11.12.2019,27924
10.12.2019,27901
09.12.2019,28020
06.12.2019,27688
05.12.2019,27644
04.12.2019,27478
03.12.2019,27788
02.12.2019,28082
29.11.2019,28150
28.11.2019,28075.5
27.11.2019,28122
26.11.2019,28025
25.11.2019,27927
22.11.2019,27754
21.11.2019,27726
20.11.2019,27884
19.11.2019,28013
18.11.2019,27960
15.11.2019,27750
14.11.2019,27772
13.11.2019,27661
12.11.2019,27658
11.11.2019,27645
