"Data","Último","Abertura","Máxima","Mínima","Var%"
"02.03.2020","4,9818","4,9224","5,0248","4,9224","0,99%"
"03.03.2020","5,0443","4,9822","5,0563","4,9668","1,25%"
"04.03.2020","5,1059","5,0438","5,1097","5,0027","1,22%"
"05.03.2020","5,1790","5,1059","5,2276","5,0986","1,43%"
"06.03.2020","5,2223","5,1789","5,2965","5,1656","0,84%"
"09.03.2020","5,4092","5,2269","5,4877","5,2228","3,58%"
"10.03.2020","5,2383","5,4077","5,4138","5,2309","-3,16%"
"11.03.2020","5,4262","5,2390","5,4426","5,2371","3,59%"
"12.03.2020","5,3594","5,4251","5,6605","5,3149","-1,23%"
"13.03.2020","5,3972","5,3602","5,4051","5,1574","0,71%"
"16.03.2020","5,5921","5,3854","5,6592","5,3666","3,61%"
"17.03.2020","5,5095","5,5930","5,5965","5,4519","-1,48%"
"18.03.2020","5,5889","5,5205","5,7196","5,4907","1,44%"
"19.03.2020","5,4486","5,5747","5,6283","5,4166","-2,51%"
"20.03.2020","5,4159","5,4486","5,5199","5,3126","-0,60%"
"23.03.2020","5,5166","5,4165","5,5485","5,3863","1,86%"
"24.03.2020","5,5018","5,5179","5,6004","5,4475","-0,27%"
"25.03.2020","5,4804","5,5018","5,5337","5,4008","-0,39%"
"26.03.2020","5,5409","5,4808","5,5542","5,4535","1,10%"
"27.03.2020","5,6830","5,5409","5,7013","5,5210","2,56%"
"30.03.2020","5,7392","5,6802","5,7406","5,6335","0,99%"
"31.03.2020","5,7421","5,7379","5,7533","5,6638","0,05%"
"01.04.2020","5,7558","5,7421","5,7779","5,6829","0,24%"
"02.04.2020","5,7090","5,7554","5,7585","5,6902","-0,81%"
"03.04.2020","5,7837","5,7043","5,7895","5,6684","1,31%"
"06.04.2020","5,7066","5,7852","5,7969","5,6414","-1,33%"
"07.04.2020","5,6883","5,7006","5,7588","5,6361","-0,32%"
"08.04.2020","5,5637","5,6883","5,7130","5,5468","-2,19%"
"09.04.2020","5,5817","5,5631","5,6032","5,5156","0,32%"
"10.04.2020","5,5848","5,5822","5,5938","5,5764","0,06%"
"13.04.2020","5,6761","5,5873","5,6857","5,5682","1,63%"
"14.04.2020","5,6701","5,6765","5,7186","5,6445","-0,10%"
"15.04.2020","5,7147","5,6701","5,7448","5,6296","0,78%"
"16.04.2020","5,6716","5,7154","5,7282","5,6634","-0,75%"
"17.04.2020","5,6950","5,6706","5,7453","5,6471","0,41%"
"20.04.2020","5,7764","5,6953","5,7788","5,6775","1,43%"
"21.04.2020","5,7730","5,7758","5,7856","5,7505","-0,06%"
"22.04.2020","5,9075","5,7724","5,9132","5,7654","2,33%"
"23.04.2020","5,9658","5,9077","5,9860","5,8262","0,99%"
"24.04.2020","6,0511","5,9658","6,2046","5,9359","1,43%"
"27.04.2020","6,1235","6,0436","6,2021","6,0089","1,20%"
"28.04.2020","5,9523","6,1233","6,1572","5,9289","-2,80%"
"29.04.2020","5,8029","5,9531","6,0020","5,8010","-2,51%"
"30.04.2020","6,0127","5,8014","6,0127","5,7902","3,61%"
"01.05.2020","6,0243","6,0121","6,0465","6,0001","0,19%"
"04.05.2020","6,0495","6,0240","6,1418","5,9928","0,42%"
"05.05.2020","6,0465","6,0489","6,0796","5,9426","-0,05%"
"06.05.2020","6,1699","6,0484","6,1795","6,0157","2,04%"
"07.05.2020","6,3188","6,1701","6,3502","6,1604","2,41%"
"08.05.2020","6,2147","6,3182","6,4966","6,1978","-1,65%"
"11.05.2020","6,2892","6,2133","6,3169","6,1961","1,20%"
"12.05.2020","6,3855","6,2887","6,3948","6,2415","1,53%"
"13.05.2020","6,3682","6,3855","6,4389","6,3274","-0,27%"
"14.05.2020","6,2809","6,3689","6,4489","6,2673","-1,37%"
"15.05.2020","6,3350","6,2788","6,3522","6,2400","0,86%"
"18.05.2020","6,2410","6,3317","6,3396","6,2056","-1,48%"
"19.05.2020","6,2870","6,2414","6,3053","6,2193","0,74%"
"20.05.2020","6,2508","6,2871","6,3131","6,2302","-0,58%"
"21.05.2020","6,0802","6,2510","6,2757","6,0740","-2,73%"
"22.05.2020","6,0316","6,0796","6,1308","6,0205","-0,80%"
"25.05.2020","5,9369","6,0335","6,0407","5,9191","-1,57%"
"26.05.2020","5,8707","5,9366","5,9772","5,8625","-1,12%"
"27.05.2020","5,8043","5,8715","5,9049","5,7861","-1,13%"
"28.05.2020","5,9885","5,8041","5,9947","5,7969","3,17%"
"29.05.2020","5,9236","5,9885","6,0736","5,9049","-1,08%"
"01.06.2020","5,9740","5,9214","6,0313","5,9001","0,85%"
"02.06.2020","5,8108","5,9750","6,0048","5,8040","-2,73%"
"03.06.2020","5,6886","5,8096","5,8393","5,6314","-2,10%"
"04.06.2020","5,8050","5,6886","5,8273","5,6608","2,05%"
"05.06.2020","5,5970","5,8048","5,8274","5,5780","-3,58%"
"08.06.2020","5,4476","5,5985","5,6217","5,4411","-2,67%"
"09.06.2020","5,5570","5,4471","5,5869","5,4212","2,01%"
"10.06.2020","5,6569","5,5587","5,6621","5,5093","1,80%"
"11.06.2020","5,6230","5,6564","5,6750","5,6172","-0,60%"
"12.06.2020","5,6856","5,6230","5,7839","5,6115","1,11%"
"15.06.2020","5,8383","5,6808","5,8865","5,6709","2,69%"
"16.06.2020","5,9074","5,8379","5,9191","5,7038","1,18%"
"17.06.2020","5,8795","5,9074","5,9237","5,8194","-0,47%"
"18.06.2020","6,0275","5,8793","6,0408","5,8694","2,52%"
"19.06.2020","5,9374","6,0289","6,0448","5,9183","-1,49%"
"22.06.2020","5,9156","5,9416","5,9643","5,8452","-0,37%"
"23.06.2020","5,8286","5,9153","5,9427","5,8071","-1,47%"
"24.06.2020","6,0170","5,8289","6,0243","5,8066","3,23%"
"25.06.2020","6,0086","6,0164","6,0402","5,9075","-0,14%"
"26.06.2020","6,1544","6,0099","6,1563","6,0065","2,43%"
"29.06.2020","6,0749","6,1589","6,1929","6,0578","-1,29%"
"30.06.2020","6,1413","6,0746","6,1800","6,0444","1,09%"
"01.07.2020","5,9845","6,1399","6,1434","5,9624","-2,55%"
"02.07.2020","6,0240","5,9844","6,0410","5,9374","0,66%"
"03.07.2020","5,9800","6,0245","6,0403","5,9651","-0,73%"
"06.07.2020","6,0571","5,9746","6,0613","5,9543","1,29%"
"07.07.2020","6,0635","6,0566","6,0996","5,9659","0,11%"
"08.07.2020","6,0545","6,0641","6,1035","6,0050","-0,15%"
"09.07.2020","6,0295","6,0539","6,0767","5,9499","-0,41%"
"10.07.2020","6,0161","6,0296","6,0868","6,0044","-0,22%"
"13.07.2020","6,1301","6,0160","6,1366","6,0146","1,89%"
"14.07.2020","6,1189","6,1295","6,2165","6,0738","-0,18%"
"15.07.2020","6,1297","6,1200","6,1521","6,0524","0,18%"
"16.07.2020","6,0692","6,1294","6,1554","6,0398","-0,99%"
"17.07.2020","6,1556","6,0693","6,1696","6,0655","1,42%"
"20.07.2020","6,0991","6,1432","6,1764","6,0927","-0,92%"
"21.07.2020","5,9612","6,0999","6,1124","5,9530","-2,26%"
"22.07.2020","5,9214","5,9609","6,0228","5,8840","-0,67%"
"23.07.2020","6,0438","5,9227","6,0585","5,9203","2,07%"
"24.07.2020","6,1001","6,0443","6,1006","6,0084","0,93%"
"27.07.2020","6,0469","6,0947","6,1452","6,0384","-0,87%"
"28.07.2020","6,0380","6,0512","6,1030","6,0187","-0,15%"
"29.07.2020","6,0959","6,0390","6,1113","6,0030","0,96%"
"30.07.2020","6,1073","6,0938","6,1318","6,0651","0,19%"
"31.07.2020","6,1536","6,1061","6,1845","6,0968","0,76%"
"03.08.2020","6,2597","6,1528","6,2761","6,1121","1,72%"
"04.08.2020","6,2463","6,2585","6,3147","6,2214","-0,21%"
"05.08.2020","6,2774","6,2452","6,3160","6,2048","0,50%"
"06.08.2020","6,3334","6,2774","6,3657","6,2612","0,89%"
"07.08.2020","6,4110","6,3337","6,4124","6,2972","1,23%"
"10.08.2020","6,4327","6,4111","6,4453","6,2989","0,34%"
"11.08.2020","6,3156","6,4342","6,4726","6,3165","-1,82%"
"12.08.2020","6,4042","6,3184","6,4760","6,3025","1,40%"
"13.08.2020","6,3419","6,4039","6,4449","6,3198","-0,97%"
"14.08.2020","6,4183","6,3439","6,4467","6,3251","1,20%"
"17.08.2020","6,5386","6,4193","6,5482","6,4093","1,87%"
"18.08.2020","6,5217","6,5402","6,5826","6,4688","-0,26%"
"19.08.2020","6,5779","6,5234","6,5850","6,4858","0,86%"
"20.08.2020","6,5898","6,5800","6,7101","6,5648","0,18%"
"21.08.2020","6,6278","6,5908","6,6391","6,5396","0,58%"
"24.08.2020","6,6125","6,6238","6,6572","6,5784","-0,23%"
"25.08.2020","6,5183","6,6177","6,6453","6,5150","-1,42%"
"26.08.2020","6,6331","6,5192","6,6649","6,4976","1,76%"
"27.08.2020","6,5832","6,6332","6,6459","6,5581","-0,75%"
"28.08.2020","6,4135","6,5850","6,6398","6,4100","-2,58%"
"31.08.2020","6,5545","6,4122","6,5699","6,4038","2,20%"
"01.09.2020","6,4266","6,5562","6,5902","6,3639","-1,95%"
"02.09.2020","6,3306","6,4278","6,4410","6,3288","-1,49%"
"03.09.2020","6,2698","6,3327","6,3502","6,2496","-0,96%"
"04.09.2020","6,2735","6,2713","6,3106","6,2007","0,06%"
"07.09.2020","6,2624","6,2712","6,2799","6,2598","-0,18%"
"08.09.2020","6,3127","6,2628","6,3752","6,2418","0,80%"
"09.09.2020","6,2643","6,3151","6,3216","6,2304","-0,77%"
"10.09.2020","6,2857","6,2643","6,3172","6,2641","0,34%"
"11.09.2020","6,3002","6,2874","6,3284","6,2301","0,23%"
"14.09.2020","6,2544","6,3029","6,3246","6,2407","-0,73%"
"15.09.2020","6,2480","6,2559","6,2864","6,2000","-0,10%"
"16.09.2020","6,1878","6,2526","6,2699","6,1632","-0,96%"
"17.09.2020","6,2071","6,1900","6,2485","6,1474","0,31%"
