"Data","Último","Abertura","Máxima","Mínima","Var%"
"28.02.2020","4,9328","4,9352","4,9661","4,9143","-0,04%"
"27.02.2020","4,9350","4,8439","4,9413","4,8417","1,91%"
"26.02.2020","4,8426","4,7747","4,8496","4,7640","1,42%"
"25.02.2020","4,7749","4,7630","4,7797","4,7525","0,25%"
"24.02.2020","4,7630","4,7603","4,7714","4,7416","0,05%"
"21.02.2020","4,7607","4,7385","4,7728","4,7381","0,48%"
"20.02.2020","4,7381","4,7169","4,7524","4,7050","0,45%"
"19.02.2020","4,7171","4,7011","4,7257","4,6984","0,34%"
"18.02.2020","4,7009","4,6894","4,7118","4,6802","0,26%"
"17.02.2020","4,6888","4,6557","4,6923","4,6514","0,72%"
"14.02.2020","4,6552","4,7158","4,7212","4,6493","-1,30%"
"13.02.2020","4,7164","4,7356","4,7610","4,6730","-0,40%"
"12.02.2020","4,7355","4,7289","4,7386","4,7171","0,15%"
"11.02.2020","4,7286","4,7190","4,7399","4,6893","0,20%"
"10.02.2020","4,7192","4,7313","4,7348","4,7039","-0,21%"
"07.02.2020","4,7290","4,7035","4,7424","4,6864","0,56%"
"06.02.2020","4,7025","4,6590","4,7057","4,6284","0,94%"
"05.02.2020","4,6589","4,6990","4,7019","4,6540","-0,85%"
"04.02.2020","4,6989","4,6977","4,7068","4,6654","0,01%"
"03.02.2020","4,6982","4,7511","4,7527","4,6700","-1,11%"
"31.01.2020","4,7508","4,6814","4,7579","4,6753","1,49%"
"30.01.2020","4,6811","4,6578","4,7150","4,6562","0,49%"
"29.01.2020","4,6582","4,6236","4,6592","4,5983","0,76%"
"28.01.2020","4,6232","4,6364","4,6410","4,6079","-0,28%"
"27.01.2020","4,6364","4,6082","4,6614","4,6066","0,57%"
"24.01.2020","4,6103","4,6105","4,6215","4,5956","0,00%"
"23.01.2020","4,6102","4,6402","4,6482","4,5927","-0,64%"
"22.01.2020","4,6400","4,6692","4,6742","4,6270","-0,63%"
"21.01.2020","4,6692","4,6494","4,6787","4,6452","0,43%"
"20.01.2020","4,6491","4,6161","4,6510","4,6145","0,73%"
"17.01.2020","4,6156","4,6609","4,6639","4,6124","-0,97%"
"16.01.2020","4,6609","4,6562","4,6781","4,6413","0,10%"
"15.01.2020","4,6562","4,5995","4,6712","4,5954","1,23%"
"14.01.2020","4,5995","4,6177","4,6300","4,5857","-0,39%"
"13.01.2020","4,6175","4,5571","4,6188","4,5459","1,35%"
"10.01.2020","4,5559","4,5454","4,5647","4,5111","0,23%"
"09.01.2020","4,5454","4,5137","4,5461","4,5059","0,68%"
"08.01.2020","4,5145","4,5369","4,5437","4,4898","-0,50%"
"07.01.2020","4,5373","4,5473","4,5689","4,5206","-0,24%"
"06.01.2020","4,5484","4,5418","4,5599","4,5244","0,19%"
"03.01.2020","4,5399","4,4977","4,5404","4,4778","0,92%"
"02.01.2020","4,4985","4,5060","4,5174","4,4780","-0,18%"
"01.01.2020","4,5066","4,5075","4,5114","4,5042","0,00%"
"31.12.2019","4,5066","4,5011","4,5190","4,5011","0,11%"
"30.12.2019","4,5015","4,5202","4,5352","4,4901","-0,45%"
"27.12.2019","4,5220","4,5008","4,5354","4,4973","0,46%"
"26.12.2019","4,5014","4,5296","4,5320","4,4863","-0,62%"
"25.12.2019","4,5293","4,5286","4,5358","4,5220","0,02%"
"24.12.2019","4,5282","4,5286","4,5309","4,5203","0,01%"
"23.12.2019","4,5278","4,5461","4,5498","4,4979","-0,38%"
"20.12.2019","4,5452","4,5260","4,5452","4,5047","0,42%"
"19.12.2019","4,5263","4,5156","4,5306","4,5045","0,24%"
"18.12.2019","4,5156","4,5403","4,5427","4,5008","-0,54%"
"17.12.2019","4,5401","4,5271","4,5514","4,5197","0,27%"
"16.12.2019","4,5280","4,5697","4,5816","4,5193","-0,89%"
"13.12.2019","4,5688","4,5530","4,6012","4,5398","0,35%"
"12.12.2019","4,5530","4,5902","4,5999","4,5323","-0,81%"
"11.12.2019","4,5902","4,5999","4,6018","4,5474","-0,22%"
"10.12.2019","4,6002","4,5832","4,6053","4,5773","0,37%"
"09.12.2019","4,5832","4,5790","4,6084","4,5635","0,07%"
"06.12.2019","4,5799","4,6480","4,6509","4,5702","-1,47%"
"05.12.2019","4,6483","4,6615","4,6867","4,6364","-0,29%"
"04.12.2019","4,6616","4,6617","4,6653","4,6314","-0,01%"
"03.12.2019","4,6621","4,6789","4,6833","4,6385","-0,36%"
"02.12.2019","4,6791","4,6664","4,6824","4,6549","0,25%"
"29.11.2019","4,6675","4,6130","4,6783","4,5997","1,18%"
"28.11.2019","4,6131","4,6898","4,6993","4,6127","-1,64%"
"27.11.2019","4,6898","4,6650","4,6996","4,6516","0,53%"
"26.11.2019","4,6650","4,6555","4,7127","4,6528","0,20%"
"25.11.2019","4,6555","4,6264","4,6589","4,6101","0,63%"
"22.11.2019","4,6263","4,6374","4,6491","4,6066","-0,23%"
"21.11.2019","4,6369","4,6460","4,6748","4,6294","-0,21%"
"20.11.2019","4,6468","4,6474","4,6505","4,6367","-0,01%"
"19.11.2019","4,6471","4,6697","4,6749","4,6371","-0,49%"
"18.11.2019","4,6701","4,6373","4,6732","4,6108","0,70%"
"15.11.2019","4,6376","4,6246","4,6406","4,6221","0,29%"
"14.11.2019","4,6243","4,5900","4,6254","4,5761","0,74%"
"13.11.2019","4,5904","4,5887","4,6123","4,5801","0,05%"
"12.11.2019","4,5883","4,5807","4,6136","4,5626","0,17%"
"11.11.2019","4,5807","4,5895","4,6030","4,5626","-0,16%"
"08.11.2019","4,5882","4,5320","4,5971","4,5214","1,26%"
"07.11.2019","4,5312","4,5194","4,5401","4,4786","0,28%"
"06.11.2019","4,5187","4,4225","4,5291","4,4041","2,17%"
"05.11.2019","4,4229","4,4678","4,4707","4,4067","-1,02%"
"04.11.2019","4,4686","4,4544","4,4736","4,4379","0,28%"
"01.11.2019","4,4560","4,4809","4,4879","4,4277","-0,56%"
"31.10.2019","4,4813","4,4511","4,5035","4,4212","0,67%"
"30.10.2019","4,4515","4,4436","4,4816","4,4368","0,19%"
"29.10.2019","4,4432","4,4306","4,4502","4,4193","0,30%"
"28.10.2019","4,4300","4,4384","4,4501","4,4063","-0,14%"
"25.10.2019","4,4362","4,4875","4,4954","4,4237","-1,15%"
"24.10.2019","4,4878","4,4940","4,5046","4,4456","-0,06%"
"23.10.2019","4,4906","4,5404","4,5517","4,4836","-1,11%"
"22.10.2019","4,5412","4,6035","4,6066","4,5235","-1,36%"
"21.10.2019","4,6039","4,5831","4,6300","4,5807","0,20%"
"18.10.2019","4,5945","4,6320","4,6438","4,5861","-0,81%"
"17.10.2019","4,6321","4,5965","4,6549","4,5885","0,77%"
"16.10.2019","4,5969","4,6120","4,6246","4,5930","-0,34%"
"15.10.2019","4,6126","4,5504","4,6138","4,5352","1,35%"
"14.10.2019","4,5510","4,5354","4,5639","4,5225","0,28%"
"11.10.2019","4,5381","4,5211","4,5633","4,5050","0,34%"
"10.10.2019","4,5229","4,5086","4,5614","4,5086","0,30%"
"09.10.2019","4,5095","4,4882","4,5160","4,4776","0,50%"
"08.10.2019","4,4870","4,5069","4,5194","4,4613","-0,42%"
"07.10.2019","4,5058","4,4517","4,5085","4,4460","1,21%"
"04.10.2019","4,4521","4,4778","4,4901","4,4469","-0,59%"
"03.10.2019","4,4786","4,5259","4,5319","4,4730","-1,03%"
"02.10.2019","4,5253","4,5456","4,5705","4,5220","-0,48%"
"01.10.2019","4,5469","4,5306","4,5658","4,5229","0,38%"
"30.09.2019","4,5296","4,5516","4,5554","4,5146","-0,47%"
"27.09.2019","4,5508","4,5548","4,5630","4,5363","-0,11%"
"26.09.2019","4,5556","4,5388","4,5564","4,5056","0,34%"
"25.09.2019","4,5403","4,5910","4,6089","4,5356","-1,06%"
"24.09.2019","4,5890","4,5782","4,6062","4,5700","0,26%"
"23.09.2019","4,5772","4,5706","4,6000","4,5499","0,15%"
"20.09.2019","4,5704","4,6018","4,6142","4,5677","-0,67%"
"19.09.2019","4,6011","4,5339","4,6024","4,5307","1,46%"
"18.09.2019","4,5347","4,5150","4,5386","4,5004","0,44%"
"17.09.2019","4,5150","4,4875","4,5398","4,4842","0,56%"
"16.09.2019","4,4897","4,5294","4,5320","4,4821","-0,76%"
"13.09.2019","4,5240","4,4932","4,5370","4,4805","0,70%"
"12.09.2019","4,4924","4,4790","4,5052","4,4039","0,30%"
"11.09.2019","4,4789","4,5077","4,5126","4,4542","-0,62%"
"10.09.2019","4,5069","4,5243","4,5604","4,5030","-0,39%"
"09.09.2019","4,5245","4,4798","4,5356","4,4670","1,02%"
"06.09.2019","4,4789","4,5338","4,5416","4,4769","-1,21%"
"05.09.2019","4,5338","4,5197","4,5419","4,5024","0,32%"
"04.09.2019","4,5193","4,5727","4,5944","4,5113","-1,19%"
"03.09.2019","4,5737","4,5920","4,5937","4,5470","-0,41%"
"02.09.2019","4,5924","4,5564","4,5964","4,5427","0,85%"
"30.08.2019","4,5538","4,6101","4,6120","4,5255","-1,21%"
"29.08.2019","4,6094","4,6172","4,6288","4,5850","-0,17%"
"28.08.2019","4,6174","4,5805","4,6193","4,5732","0,78%"
"27.08.2019","4,5816","4,6139","4,6514","4,5724","-0,73%"
"26.08.2019","4,6151","4,5929","4,6285","4,5621","0,48%"
"23.08.2019","4,5929","4,5107","4,6052","4,4928","1,84%"
"22.08.2019","4,5101","4,4629","4,5229","4,4496","1,03%"
"21.08.2019","4,4641","4,4994","4,5041","4,4544","-0,81%"
"20.08.2019","4,5004","4,5149","4,5201","4,4661","-0,29%"
"19.08.2019","4,5136","4,4396","4,5208","4,4285","1,60%"
"16.08.2019","4,4425","4,4330","4,4448","4,3998","0,22%"
"15.08.2019","4,4326","4,5118","4,5213","4,4193","-1,81%"
"14.08.2019","4,5141","4,4276","4,5172","4,4253","1,89%"
"13.08.2019","4,4303","4,4688","4,5023","4,4111","-0,84%"
"12.08.2019","4,4680","4,4157","4,5028","4,3978","1,22%"
"09.08.2019","4,4140","4,3832","4,4327","4,3828","0,73%"
"08.08.2019","4,3820","4,4444","4,4568","4,3796","-1,42%"
"07.08.2019","4,4450","4,4375","4,4871","4,4177","0,19%"
"06.08.2019","4,4365","4,4559","4,4727","4,4025","-0,44%"
"05.08.2019","4,4563","4,3149","4,4581","4,3149","3,14%"
"02.08.2019","4,3206","4,2564","4,3264","4,2506","1,50%"
"01.08.2019","4,2569","4,2256","4,2805","4,2062","0,76%"
"31.07.2019","4,2246","4,2275","4,2328","4,1710","-0,09%"
"30.07.2019","4,2284","4,2153","4,2355","4,2100","0,33%"
"29.07.2019","4,2144","4,2013","4,2289","4,1961","0,30%"
"26.07.2019","4,2017","4,2143","4,2256","4,1792","-0,30%"
"25.07.2019","4,2142","4,2043","4,2538","4,1715","0,24%"
"24.07.2019","4,2043","4,2093","4,2120","4,1814","-0,12%"
"23.07.2019","4,2095","4,1941","4,2158","4,1808","0,39%"
"22.07.2019","4,1932","4,2039","4,2069","4,1826","-0,34%"
"19.07.2019","4,2077","4,1951","4,2107","4,1780","0,32%"
"18.07.2019","4,1943","4,2249","4,2328","4,1895","-0,72%"
"17.07.2019","4,2246","4,2246","4,2302","4,2086","-0,01%"
"16.07.2019","4,2252","4,2287","4,2310","4,2091","-0,10%"
"15.07.2019","4,2293","4,2157","4,2320","4,1986","0,40%"
"12.07.2019","4,2123","4,2268","4,2375","4,2015","-0,32%"
"11.07.2019","4,2259","4,2251","4,2420","4,2115","0,04%"
"10.07.2019","4,2242","4,2594","4,2680","4,2198","-0,83%"
"09.07.2019","4,2596","4,2697","4,2706","4,2571","-0,23%"
"08.07.2019","4,2695","4,2900","4,2950","4,2615","-0,48%"
"05.07.2019","4,2903","4,2898","4,3056","4,2730","0,02%"
"04.07.2019","4,2895","4,3147","4,3229","4,2665","-0,62%"
"03.07.2019","4,3163","4,3399","4,3726","4,3030","-0,61%"
"02.07.2019","4,3429","4,3353","4,3845","4,3129","0,20%"
