Data,Abertura
04.12.2020,1101.98
03.12.2020,1101.26
02.12.2020,1097.11
01.12.2020,1094.15
30.11.2020,1096.66
27.11.2020,1096.36
26.11.2020,1098.83
25.11.2020,1095.98
24.11.2020,1093.01
23.11.2020,1092.36
20.11.2020,1076.27
19.11.2020,1075.08
18.11.2020,1077.06
17.11.2020,1082.3
16.11.2020,1076.97
13.11.2020,1067.11
12.11.2020,1071.35
11.11.2020,1070.89
10.11.2020,1058.63
09.11.2020,1013.68
06.11.2020,999.27
05.11.2020,997.63
04.11.2020,955.09
03.11.2020,956.01
02.11.2020,934.33
30.10.2020,919.54
29.10.2020,928.73
28.10.2020,938.81
27.10.2020,966.1
26.10.2020,968.27
23.10.2020,970.92
22.10.2020,970.36
21.10.2020,989.21
20.10.2020,988.11
19.10.2020,995.62
16.10.2020,985
15.10.2020,981.63
14.10.2020,996.21
13.10.2020,1000.94
12.10.2020,995.39
09.10.2020,987.48
08.10.2020,983.54
07.10.2020,979.71
06.10.2020,977.75
05.10.2020,972.78
02.10.2020,954.24
01.10.2020,968.19
30.09.2020,956.49
29.09.2020,964.55
28.09.2020,958.47
25.09.2020,948.42
24.09.2020,944.48
23.09.2020,958.94
22.09.2020,953.89
21.09.2020,976.75
18.09.2020,992.21
17.09.2020,984.89
16.09.2020,996.04
15.09.2020,992.21
14.09.2020,995.47
11.09.2020,985.97
10.09.2020,988.97
09.09.2020,974.58
08.09.2020,988.06
07.09.2020,976.71
04.09.2020,979.97
03.09.2020,1005.51
02.09.2020,987.44
01.09.2020,986.11
31.08.2020,1000.42
28.08.2020,999.26
27.08.2020,1004.82
26.08.2020,990.45
25.08.2020,995.1
24.08.2020,982.38
21.08.2020,975.61
20.08.2020,974.02
19.08.2020,977.85
18.08.2020,982.86
17.08.2020,986.23
14.08.2020,995.41
13.08.2020,1002.02
12.08.2020,991.86
11.08.2020,981.3
10.08.2020,974.4
07.08.2020,968.21
06.08.2020,979.29
05.08.2020,979.87
04.08.2020,977.04
03.08.2020,956.19
31.07.2020,969.99
30.07.2020,988.67
29.07.2020,985.41
28.07.2020,982.78
27.07.2020,983.9
24.07.2020,992.39
23.07.2020,1009.84
22.07.2020,1015.81
21.07.2020,1021.03
20.07.2020,1004.53
17.07.2020,1009.75
16.07.2020,1006.22
15.07.2020,1005.47
14.07.2020,994.68
