Data,Abertura
13.07.2020,1005.01
10.07.2020,980.13
09.07.2020,999.88
08.07.2020,998.29
07.07.2020,1003.6
06.07.2020,1011.85
03.07.2020,1000.24
02.07.2020,985.18
01.07.2020,977.63
30.06.2020,979.86
29.06.2020,967.72
26.06.2020,980.5
25.06.2020,962.72
24.06.2020,988.35
23.06.2020,985.84
22.06.2020,976.11
19.06.2020,988.11
18.06.2020,982.55
17.06.2020,977.86
16.06.2020,969.63
15.06.2020,931.16
12.06.2020,940.89
11.06.2020,966.69
10.06.2020,1000.13
09.06.2020,1010
08.06.2020,1006.53
05.06.2020,994.58
04.06.2020,982.77
03.06.2020,967.75
02.06.2020,950.73
01.06.2020,945.78
29.05.2020,935.35
28.05.2020,932.64
27.05.2020,921.19
26.05.2020,917.52
25.05.2020,897.81
22.05.2020,877.96
21.05.2020,889.99
20.05.2020,886.19
19.05.2020,901.06
18.05.2020,873.68
15.05.2020,866.04
14.05.2020,862.55
13.05.2020,883.53
12.05.2020,892.11
11.05.2020,904.83
08.05.2020,897.43
07.05.2020,879.9
06.05.2020,883.33
05.05.2020,877.74
04.05.2020,870.19
30.04.2020,923.15
29.04.2020,900.83
28.04.2020,886.9
27.04.2020,881.66
24.04.2020,864.73
23.04.2020,875.8
22.04.2020,863.68
21.04.2020,879.4
20.04.2020,888.82
17.04.2020,881.69
16.04.2020,867.35
15.04.2020,887.6
14.04.2020,896.87
09.04.2020,887.69
08.04.2020,866.17
07.04.2020,880.12
06.04.2020,848.07
03.04.2020,829.15
02.04.2020,834.44
01.04.2020,833.57
31.03.2020,861.19
30.03.2020,847.52
27.03.2020,860.66
26.03.2020,842.25
25.03.2020,849.23
24.03.2020,799.58
23.03.2020,756.96
20.03.2020,795.34
19.03.2020,749.91
18.03.2020,757.19
17.03.2020,784.61
16.03.2020,756.65
13.03.2020,824.27
12.03.2020,850.54
11.03.2020,916.86
10.03.2020,926.05
09.03.2020,943.27
06.03.2020,1015.15
05.03.2020,1059.93
04.03.2020,1038.4
03.03.2020,1043.13
02.03.2020,1040.58
28.02.2020,1025.62
27.02.2020,1077.39
26.02.2020,1091.25
25.02.2020,1125.9
24.02.2020,1133.97
21.02.2020,1165.82
20.02.2020,1180.52
19.02.2020,1177.01
18.02.2020,1167.97
17.02.2020,1176.5
14.02.2020,1177.31
13.02.2020,1171.53
12.02.2020,1169.9
11.02.2020,1166.1
10.02.2020,1157.11
07.02.2020,1162.26
06.02.2020,1164.88
05.02.2020,1142.11
04.02.2020,1131.21
03.02.2020,1122.94
31.01.2020,1136.4
30.01.2020,1134.75
29.01.2020,1141.1
28.01.2020,1136.12
27.01.2020,1142.49
24.01.2020,1157.7
