date,icei
2? Trim.2006;61,61.1
3? Trim.2006;59,59.2
4? Trim.2006;60,60.6
1? Trim.2007;64,64.5
2? Trim.2007;62,62.9
3? Trim.2007;63,63.6
4? Trim.2007;62,62.8
1? Trim.2008;64,64.1
2? Trim.2008;65,65.2
3? Trim.2008;61,61.6
4? Trim.2008;53,53.4
1? Trim.2009;53,53.1
2? Trim.2009;57,57.6
3? Trim.2009;63,63.6
4? Trim.2009;68,68.7
1? Trim.2010;70,70.7
2? Trim.2010;68,68.7
3? Trim.2010;65,65.9
4? Trim.2010;64,64.2
1? Trim.2011;64,64.4
2? Trim.2011;62,62.3
3? Trim.2011;60,60.5
4? Trim.2011;58,58.9
1? Trim.2012;63,63.4
2? Trim.2012;60,60.6
3? Trim.2012;61,61.5
4? Trim.2012;61,61.1
1? Trim.2013;61,61.4
2? Trim.2013;58,58.9
3? Trim.2013;58,58.2
4? Trim.2013;58,58
1? Trim.2014;56,56.4
2? Trim.2014;51,51.3
3? Trim.2014;50,50.3
4? Trim.2014;49,49.2
1? Trim.2015;48,48.7
2? Trim.2015;43,43.2
3? Trim.2015;42,42
4? Trim.2015;39,39.3
1? Trim.2016;40,40.9
2? Trim.2016;41,41.3
3? Trim.2016;52,52.3
4? Trim.2016;56,56.8
1? Trim.2017;54,54.7
2? Trim.2017;56,56.6
3? Trim.2017;53,53.8
4? Trim.2017;58,58.8
1? Trim.2018;62,62
2? Trim.2018;59,59.4
3? Trim.2018;53,53.2
4? Trim.2018;55,55.9
1? Trim.2019;69,69.9
2? Trim.2019;62,62.6
3? Trim.2019;62,62.1
4? Trim.2019;65,65.6
1? Trim.2020;67,67.7
2? Trim.2020;34,34.7
3? Trim.2020;54,54.1
4? Trim.2020;64,64.5
