date,INPC,IPCA,Índice de Condições Econômicas Atuais,Indicadores da produção (2012=100) - Geral
05/2006;0,13 ;0,10 ;131,57 ;95,4
06/2006;-0,07 ;-0,21 ;124,52 ;91,1
07/2006;0,11 ;0,19 ;127,95 ;93,8
08/2006;-0,02 ;0,05 ;120,06 ;98,6
09/2006;0,16 ;0,21 ;125,03 ;93,2
10/2006;0,43 ;0,33 ;123,59 ;97,5
11/2006;0,42 ;0,31 ;125,09 ;95,9
12/2006;0,62 ;0,48 ;121,31 ;87,0
01/2007;0,49 ;0,44 ;136,75 ;87,0
02/2007;0,42 ;0,44 ;138,17 ;82,6
03/2007;0,44 ;0,37 ;132,37 ;96,4
04/2007;0,26 ;0,25 ;135,81 ;90,6
05/2007;0,26 ;0,28 ;136,67 ;99,9
06/2007;0,31 ;0,28 ;138,41 ;96,9
07/2007;0,32 ;0,24 ;140,19 ;99,8
08/2007;0,59 ;0,47 ;136,44 ;104,9
09/2007;0,25 ;0,18 ;141,09 ;98,4
10/2007;0,30 ;0,30 ;147,02 ;107,8
11/2007;0,43 ;0,38 ;150,14 ;102,4
12/2007;0,97 ;0,74 ;145,79 ;92,6
01/2008;0,69 ;0,54 ;153,64 ;94,8
02/2008;0,48 ;0,49 ;153,55 ;91,1
03/2008;0,51 ;0,48 ;153,75 ;97,7
04/2008;0,64 ;0,55 ;157,13 ;99,2
05/2008;0,96 ;0,79 ;155,13 ;102,5
06/2008;0,91 ;0,74 ;152,22 ;103,3
07/2008;0,58 ;0,53 ;140,16 ;108,5
08/2008;0,21 ;0,28 ;140,48 ;106,9
09/2008;0,15 ;0,26 ;138,99 ;107,3
10/2008;0,50 ;0,45 ;139,59 ;108,4
11/2008;0,38 ;0,36 ;131,73 ;96,2
12/2008;0,29 ;0,28 ;120,39 ;79,1
01/2009;0,64 ;0,48 ;119,62 ;78,7
02/2009;0,31 ;0,55 ;130,38 ;76,1
03/2009;0,20 ;0,20 ;117,53 ;88,6
04/2009;0,55 ;0,48 ;118,16 ;85,2
05/2009;0,60 ;0,47 ;120,69 ;91,3
06/2009;0,42 ;0,36 ;128,53 ;92,2
07/2009;0,23 ;0,24 ;134,55 ;97,7
08/2009;0,08 ;0,15 ;134,83 ;99,6
09/2009;0,16 ;0,24 ;141,86 ;99,4
10/2009;0,24 ;0,28 ;148,45 ;105,6
11/2009;0,37 ;0,41 ;146,55 ;101,4
12/2009;0,24 ;0,37 ;150,53 ;94,1
01/2010;0,88 ;0,75 ;154,75 ;91,2
02/2010;0,70 ;0,78 ;160,75 ;89,0
03/2010;0,71 ;0,52 ;159,98 ;105,1
04/2010;0,73 ;0,57 ;146,53 ;99,3
05/2010;0,43 ;0,43 ;152,48 ;104,3
06/2010;-0,11 ;0,00 ;155,73 ;102,5
07/2010;-0,07 ;0,01 ;153,99 ;106,9
08/2010;-0,07 ;0,04 ;163,38 ;108,1
09/2010;0,54 ;0,45 ;164,11 ;105,8
10/2010;0,92 ;0,75 ;155,58 ;107,7
11/2010;1,03 ;0,83 ;159,91 ;106,8
12/2010;0,60 ;0,63 ;162,82 ;96,6
01/2011;0,94 ;0,83 ;156,53 ;93,2
02/2011;0,54 ;0,80 ;161,27 ;95,4
03/2011;0,66 ;0,79 ;157,08 ;104,4
04/2011;0,72 ;0,77 ;154,09 ;97,5
05/2011;0,57 ;0,47 ;149,10 ;107,1
06/2011;0,22 ;0,15 ;149,91 ;102,8
07/2011;0,00 ;0,16 ;150,63 ;106,1
08/2011;0,42 ;0,37 ;149,82 ;110,8
09/2011;0,45 ;0,53 ;152,27 ;104,8
10/2011;0,32 ;0,43 ;148,99 ;106,3
11/2011;0,57 ;0,52 ;149,08 ;104,2
12/2011;0,51 ;0,50 ;150,52 ;95,7
01/2012;0,51 ;0,56 ;151,92 ;88,7
02/2012;0,39 ;0,45 ;167,90 ;89,8
03/2012;0,18 ;0,21 ;162,37 ;99,7
04/2012;0,64 ;0,64 ;163,22 ;92,8
05/2012;0,55 ;0,36 ;156,18 ;102,5
06/2012;0,26 ;0,08 ;159,71 ;98,3
07/2012;0,43 ;0,43 ;158,34 ;104,5
08/2012;0,45 ;0,41 ;155,62 ;111,5
09/2012;0,63 ;0,57 ;157,20 ;103,4
10/2012;0,71 ;0,59 ;159,44 ;111,8
11/2012;0,54 ;0,60 ;152,40 ;104,8
12/2012;0,74 ;0,79 ;160,11 ;92,2
01/2013;0,92 ;0,86 ;156,08 ;94,5
02/2013;0,52 ;0,60 ;165,95 ;88,1
03/2013;0,60 ;0,47 ;155,64 ;97,7
04/2013;0,59 ;0,55 ;153,02 ;101,8
05/2013;0,35 ;0,37 ;145,14 ;105,0
06/2013;0,28 ;0,26 ;147,48 ;101,7
07/2013;-0,13 ;0,03 ;136,41 ;108,0
08/2013;0,16 ;0,24 ;133,09 ;112,0
09/2013;0,27 ;0,35 ;139,47 ;107,3
10/2013;0,61 ;0,57 ;139,39 ;112,6
11/2013;0,54 ;0,54 ;136,92 ;106,1
12/2013;0,72 ;0,92 ;138,16 ;90,1
01/2014;0,63 ;0,55 ;130,19 ;92,6
02/2014;0,64 ;0,69 ;142,61 ;92,3
03/2014;0,82 ;0,92 ;132,36 ;97,3
04/2014;0,78 ;0,67 ;126,93 ;96,0
05/2014;0,60 ;0,46 ;111,80 ;101,7
06/2014;0,26 ;0,40 ;110,92 ;94,9
07/2014;0,13 ;0,01 ;109,23 ;104,4
08/2014;0,18 ;0,25 ;110,11 ;106,3
09/2014;0,49 ;0,57 ;113,85 ;105,6
10/2014;0,38 ;0,42 ;107,09 ;109,3
11/2014;0,53 ;0,51 ;103,39 ;99,8
12/2014;0,62 ;0,78 ;108,70 ;87,7
01/2015;1,48 ;1,24 ;110,72 ;88,1
02/2015;1,16 ;1,22 ;109,65 ;83,7
03/2015;1,51 ;1,32 ;103,26 ;94,3
04/2015;0,71 ;0,71 ;95,17 ;88,8
05/2015;0,99 ;0,74 ;81,35 ;93,1
06/2015;0,77 ;0,79 ;74,14 ;92,5
07/2015;0,58 ;0,62 ;61,30 ;95,5
08/2015;0,25 ;0,22 ;59,31 ;97,6
09/2015;0,51 ;0,54 ;59,83 ;94,3
10/2015;0,77 ;0,82 ;56,05 ;97,2
11/2015;1,11 ;1,01 ;54,31 ;87,6
12/2015;0,90 ;0,96 ;57,95 ;77,2
01/2016;1,51 ;1,27 ;57,08 ;76,3
02/2016;0,95 ;0,90 ;66,52 ;75,8
03/2016;0,44 ;0,43 ;53,50 ;83,7
04/2016;0,64 ;0,61 ;51,88 ;83,0
05/2016;0,98 ;0,78 ;47,35 ;86,3
06/2016;0,47 ;0,35 ;52,36 ;87,7
07/2016;0,64 ;0,52 ;51,30 ;89,6
08/2016;0,31 ;0,44 ;54,69 ;93,0
09/2016;0,08 ;0,08 ;58,68 ;90,7
10/2016;0,17 ;0,26 ;59,11 ;90,2
11/2016;0,07 ;0,18 ;60,10 ;86,5
12/2016;0,14 ;0,30 ;72,63 ;77,2
01/2017;0,42 ;0,38 ;68,19 ;77,9
02/2017;0,24 ;0,33 ;74,55 ;75,9
03/2017;0,32 ;0,25 ;66,79 ;85,4
04/2017;0,08 ;0,14 ;71,32 ;79,3
05/2017;0,36 ;0,31 ;66,45 ;90,1
06/2017;-0,30 ;-0,23 ;70,81 ;88,4
07/2017;0,17 ;0,24 ;73,52 ;92,1
08/2017;-0,03 ;0,19 ;69,31 ;96,7
09/2017;-0,02 ;0,16 ;70,12 ;93,0
10/2017;0,37 ;0,42 ;73,00 ;95,1
11/2017;0,18 ;0,28 ;72,38 ;90,6
12/2017;0,26 ;0,44 ;82,84 ;81,0
01/2018;0,23 ;0,29 ;89,99 ;82,3
02/2018;0,18 ;0,32 ;99,09 ;77,3
03/2018;0,07 ;0,09 ;92,09 ;86,2
04/2018;0,21 ;0,22 ;85,20 ;86,5
05/2018;0,43 ;0,40 ;83,82 ;84,4
06/2018;1,43 ;1,26 ;77,95 ;91,1
07/2018;0,25 ;0,33 ;76,45 ;95,8
08/2018;0,00 ;-0,09 ;83,02 ;98,2
09/2018;0,30 ;0,48 ;80,38 ;90,7
10/2018;0,40 ;0,45 ;78,74 ;95,8
11/2018;-0,25 ;-0,21 ;84,00 ;89,5
12/2018;0,14 ;0,15 ;95,90 ;78,0
01/2019;0,36 ;0,32 ;96,27 ;80,6
02/2019;0,54 ;0,43 ;112,24 ;79,1
03/2019;0,77 ;0,75 ;97,44 ;81,0
04/2019;0,60 ;0,57 ;99,29 ;83,4
05/2019;0,15 ;0,13 ;96,27 ;91,0
06/2019;0,01 ;0,01 ;84,12 ;85,8
07/2019;0,10 ;0,19 ;87,32 ;93,5
08/2019;0,12 ;0,11 ;91,69 ;96,2
