Data,Abertura
04.12.2020,8714
03.12.2020,8709.3
02.12.2020,8032
01.12.2020,8186
30.11.2020,7918
27.11.2020,7730
26.11.2020,7780
25.11.2020,7672
24.11.2020,7954
23.11.2020,8158
20.11.2020,8018
19.11.2020,8092
18.11.2020,7936
17.11.2020,8250
16.11.2020,8448
13.11.2020,8574
12.11.2020,8464
11.11.2020,8180
10.11.2020,8558
09.11.2020,8970
06.11.2020,8838
05.11.2020,8770
04.11.2020,8312
03.11.2020,8274
02.11.2020,8296
30.10.2020,8290
29.10.2020,8286
28.10.2020,8498
27.10.2020,8390
26.10.2020,8324
23.10.2020,8482
22.10.2020,8534
21.10.2020,8778
20.10.2020,8802
19.10.2020,8846
16.10.2020,8698
15.10.2020,8736
14.10.2020,8880
13.10.2020,8938
12.10.2020,8874
09.10.2020,8930
08.10.2020,8868
07.10.2020,8992
06.10.2020,9230
05.10.2020,9224
02.10.2020,9108
01.10.2020,8926
30.09.2020,8844
29.09.2020,8872
28.09.2020,8738
25.09.2020,8808
24.09.2020,8856
23.09.2020,8794
22.09.2020,8748
21.09.2020,8904
18.09.2020,8868
17.09.2020,8882
16.09.2020,9094
15.09.2020,9000
14.09.2020,9056
11.09.2020,8904
10.09.2020,8956
09.09.2020,8688
08.09.2020,8788
07.09.2020,8488
04.09.2020,8594
03.09.2020,8946
02.09.2020,8646
01.09.2020,8888
28.08.2020,8906
27.08.2020,9036
26.08.2020,8914
25.08.2020,8846
24.08.2020,8998
21.08.2020,8850
20.08.2020,8786
19.08.2020,8706
18.08.2020,8776
17.08.2020,8578
14.08.2020,8742
13.08.2020,8826
12.08.2020,8540
11.08.2020,8580
10.08.2020,8632
07.08.2020,8614
06.08.2020,8576
05.08.2020,8538
04.08.2020,8718
03.08.2020,8466
31.07.2020,8372
30.07.2020,8472
29.07.2020,8434
28.07.2020,8426
27.07.2020,8374
24.07.2020,8234
23.07.2020,8500
22.07.2020,8540
21.07.2020,8568
20.07.2020,8408
17.07.2020,8322
16.07.2020,8248
15.07.2020,8348
14.07.2020,8316
13.07.2020,8438
10.07.2020,8392
09.07.2020,8444
08.07.2020,8280
07.07.2020,8432
06.07.2020,8584
03.07.2020,8442
02.07.2020,8406
01.07.2020,8360
30.06.2020,8420
29.06.2020,8320
26.06.2020,8228
25.06.2020,7974
24.06.2020,8330
23.06.2020,8140
22.06.2020,8148
19.06.2020,8082
18.06.2020,8144
17.06.2020,8100
16.06.2020,8114
15.06.2020,7824
12.06.2020,8024
11.06.2020,8000
10.06.2020,7864
09.06.2020,7894
08.06.2020,8000
05.06.2020,8304
04.06.2020,8214
03.06.2020,8086
02.06.2020,8178
01.06.2020,8134
29.05.2020,8144
28.05.2020,8046
27.05.2020,8316
26.05.2020,8542
22.05.2020,8250
21.05.2020,8310
20.05.2020,8266
19.05.2020,8380
18.05.2020,8198
15.05.2020,7962
14.05.2020,7998
13.05.2020,8046
12.05.2020,7944
11.05.2020,7946
07.05.2020,7696
06.05.2020,7614
05.05.2020,7552
04.05.2020,7486
01.05.2020,7338
30.04.2020,7640
29.04.2020,7458
28.04.2020,7500
27.04.2020,7504
24.04.2020,7552
23.04.2020,7666
22.04.2020,7408
21.04.2020,7516
20.04.2020,7550
17.04.2020,7436
16.04.2020,7110
15.04.2020,7150
14.04.2020,7314
09.04.2020,7182
08.04.2020,7096
07.04.2020,7274
06.04.2020,7332
03.04.2020,6802
02.04.2020,7118
01.04.2020,7044
31.03.2020,7290
30.03.2020,6892
27.03.2020,7154
26.03.2020,7166
25.03.2020,7108
24.03.2020,6400
23.03.2020,6008
20.03.2020,6218
19.03.2020,5818
18.03.2020,5996
17.03.2020,6504
16.03.2020,6250
13.03.2020,6582
12.03.2020,6706
11.03.2020,7320
10.03.2020,7332
09.03.2020,7402
06.03.2020,7884
05.03.2020,8094
04.03.2020,7910
03.03.2020,7910
02.03.2020,7824
28.02.2020,7730
27.02.2020,7966
26.02.2020,7908
25.02.2020,8344
24.02.2020,8380
21.02.2020,8416
20.02.2020,8582
19.02.2020,8390
18.02.2020,8234
17.02.2020,8272
14.02.2020,8190
13.02.2020,8280
12.02.2020,8242
11.02.2020,8218
10.02.2020,8248
07.02.2020,8198
06.02.2020,8162
05.02.2020,7974
04.02.2020,7980
03.02.2020,7842
31.01.2020,7850
30.01.2020,7736
29.01.2020,7780
28.01.2020,7802
27.01.2020,7900
24.01.2020,7998
23.01.2020,7990
22.01.2020,7716
21.01.2020,7600
20.01.2020,7628
17.01.2020,7694
16.01.2020,7716
15.01.2020,7560
14.01.2020,7564
13.01.2020,7700
10.01.2020,7780
09.01.2020,7590
08.01.2020,7410
07.01.2020,7550
06.01.2020,7576
03.01.2020,7656
02.01.2020,7746
31.12.2019,7752
30.12.2019,7770
27.12.2019,7708
24.12.2019,7750
23.12.2019,7640
20.12.2019,7498
19.12.2019,7388
18.12.2019,7410
17.12.2019,7338
16.12.2019,7222
13.12.2019,7000
12.12.2019,6912
11.12.2019,6800
10.12.2019,6812
09.12.2019,6796
06.12.2019,6750
05.12.2019,6800
04.12.2019,6670
03.12.2019,6758
02.12.2019,6872
29.11.2019,6850
28.11.2019,7018
27.11.2019,7050
26.11.2019,6962
25.11.2019,6864
22.11.2019,6814
21.11.2019,6848
20.11.2019,6906
19.11.2019,6878
18.11.2019,6868
15.11.2019,6946
14.11.2019,6974
13.11.2019,6952
12.11.2019,6940
11.11.2019,6892
08.11.2019,6730
07.11.2019,7000
06.11.2019,7000
05.11.2019,7068
04.11.2019,7050
01.11.2019,7024
31.10.2019,7130
30.10.2019,7042
29.10.2019,7040
28.10.2019,6838
25.10.2019,6956
24.10.2019,6994
23.10.2019,7098
22.10.2019,7054
21.10.2019,7142
18.10.2019,7100
17.10.2019,7064
16.10.2019,7210
15.10.2019,7300
14.10.2019,7304
11.10.2019,7270
10.10.2019,7226
09.10.2019,7052
08.10.2019,7024
07.10.2019,7400
04.10.2019,7310
03.10.2019,7008
02.10.2019,7220
01.10.2019,7378
30.09.2019,7324
27.09.2019,7406
26.09.2019,7268
25.09.2019,7296
24.09.2019,7320
23.09.2019,7258
20.09.2019,7200
19.09.2019,7230
18.09.2019,7340
17.09.2019,7376
16.09.2019,7434
13.09.2019,7260
12.09.2019,7250
11.09.2019,6818
10.09.2019,7070
09.09.2019,7392
06.09.2019,7228
05.09.2019,7216
04.09.2019,7100
03.09.2019,7020
02.09.2019,6936
30.08.2019,6936
29.08.2019,6894
28.08.2019,6852
27.08.2019,6900
23.08.2019,6868
22.08.2019,6860
21.08.2019,6960
20.08.2019,6958
19.08.2019,6894
16.08.2019,6730
15.08.2019,6726
14.08.2019,6804
13.08.2019,6730
12.08.2019,6976
09.08.2019,6804
08.08.2019,6800
07.08.2019,6626
06.08.2019,6560
05.08.2019,6788
02.08.2019,7120
01.08.2019,6722
31.07.2019,6500
30.07.2019,6506
29.07.2019,6100
26.07.2019,5626
25.07.2019,5652
24.07.2019,5612
23.07.2019,5706
22.07.2019,5740
19.07.2019,5784
18.07.2019,5780
17.07.2019,5748
16.07.2019,5676
15.07.2019,5684
12.07.2019,5702
11.07.2019,5666
10.07.2019,5702
09.07.2019,5692
08.07.2019,5640
05.07.2019,5804
04.07.2019,5764
03.07.2019,5690
02.07.2019,5596
01.07.2019,5546
28.06.2019,5468
27.06.2019,5498
26.06.2019,5550
25.06.2019,5586
24.06.2019,5488
21.06.2019,5518
20.06.2019,5516
19.06.2019,5486
18.06.2019,5454
17.06.2019,5446
14.06.2019,5414
13.06.2019,5386
12.06.2019,5438
11.06.2019,5484
10.06.2019,5460
07.06.2019,5386
06.06.2019,5350
05.06.2019,5316
04.06.2019,5280
03.06.2019,5270
31.05.2019,5228
30.05.2019,5146
29.05.2019,5214
28.05.2019,5232
24.05.2019,5240
23.05.2019,5300
22.05.2019,5306
21.05.2019,5268
20.05.2019,5300
17.05.2019,5264
16.05.2019,5206
15.05.2019,5160
14.05.2019,5062
13.05.2019,5070
10.05.2019,5108
09.05.2019,5112
08.05.2019,5098
07.05.2019,5120
03.05.2019,5136
02.05.2019,5110
01.05.2019,5046
30.04.2019,5130
29.04.2019,5098
26.04.2019,5064
25.04.2019,5004
24.04.2019,4981
23.04.2019,5000
18.04.2019,4946
17.04.2019,4948
16.04.2019,4877
15.04.2019,4879
12.04.2019,4840
11.04.2019,4794
10.04.2019,4800
09.04.2019,4848
08.04.2019,4892
05.04.2019,4928
04.04.2019,4901
03.04.2019,4800
02.04.2019,4793
01.04.2019,4746
29.03.2019,4710
28.03.2019,4659
27.03.2019,4625
26.03.2019,4570
25.03.2019,4566
22.03.2019,4656
21.03.2019,4663
20.03.2019,4800
19.03.2019,4763
18.03.2019,4750
15.03.2019,4695
14.03.2019,4669
13.03.2019,4678
12.03.2019,4657
11.03.2019,4665
08.03.2019,4610
07.03.2019,4687
