Data,Abertura
10.11.2020,11704.46
09.11.2020,12194.71
06.11.2020,12044.29
05.11.2020,12021.77
04.11.2020,11627.76
03.11.2020,11155.84
02.11.2020,11152.48
30.10.2020,11265.7
29.10.2020,11214.33
28.10.2020,11400.47
27.10.2020,11560.86
26.10.2020,11584.17
23.10.2020,11680.72
22.10.2020,11712.64
21.10.2020,11686.19
20.10.2020,11679.08
19.10.2020,11913.01
16.10.2020,11952.12
15.10.2020,11767.28
14.10.2020,12105.1
13.10.2020,12131.07
12.10.2020,11900.12
09.10.2020,11615.57
08.10.2020,11576.44
07.10.2020,11412.65
06.10.2020,11476.67
05.10.2020,11345.24
02.10.2020,11328.86
01.10.2020,11554.96
30.09.2020,11328.55
29.09.2020,11354.7
28.09.2020,11332.32
25.09.2020,10910.5
24.09.2020,10746.35
23.09.2020,11167.22
22.09.2020,11082.09
21.09.2020,10768.01
18.09.2020,11147.8
17.09.2020,10965.74
16.09.2020,11467.9
15.09.2020,11432.94
14.09.2020,11250.8
11.09.2020,11251.19
10.09.2020,11501.43
09.09.2020,11308.25
08.09.2020,11143.91
04.09.2020,11686.24
03.09.2020,12195.75
02.09.2020,12417.45
01.09.2020,12203.36
31.08.2020,12017.46
28.08.2020,11992.68
27.08.2020,11997.89
26.08.2020,11779.35
25.08.2020,11610.58
24.08.2020,11703.34
21.08.2020,11476.85
20.08.2020,11277.05
19.08.2020,11397.23
18.08.2020,11339.76
17.08.2020,11231.97
14.08.2020,11187.82
13.08.2020,11174.63
12.08.2020,10972.07
11.08.2020,11039.68
10.08.2020,11153.51
07.08.2020,11235.24
06.08.2020,11116.49
05.08.2020,11107.24
04.08.2020,11048.5
03.08.2020,11018.02
31.07.2020,10886.36
30.07.2020,10578.63
29.07.2020,10602.4
28.07.2020,10644.33
27.07.2020,10547.11
24.07.2020,10389.54
23.07.2020,10853.16
22.07.2020,10850.92
21.07.2020,11015.54
20.07.2020,10672.96
17.07.2020,10651.59
16.07.2020,10589.86
15.07.2020,10752.11
14.07.2020,10502.85
13.07.2020,10951.54
10.07.2020,10751.77
09.07.2020,10745.87
08.07.2020,10594.41
07.07.2020,10595.94
06.07.2020,10487.7
02.07.2020,10386.38
01.07.2020,10160.41
30.06.2020,9970.21
29.06.2020,9850.54
26.06.2020,10087.08
25.06.2020,10003.5
24.06.2020,10183.77
23.06.2020,10192.42
22.06.2020,10009
19.06.2020,10104.63
18.06.2020,9972.35
17.06.2020,9998.86
16.06.2020,9983.65
15.06.2020,9517.14
12.06.2020,9785.58
11.06.2020,9907.56
10.06.2020,10037.98
09.06.2020,9861.18
08.06.2020,9805.69
05.06.2020,9673.09
04.06.2020,9672.17
03.06.2020,9689.72
02.06.2020,9603.18
01.06.2020,9526.43
29.05.2020,9440.64
28.05.2020,9404.83
27.05.2020,9366.63
26.05.2020,9570.53
22.05.2020,9363.67
21.05.2020,9487.63
20.05.2020,9415.25
19.05.2020,9326.28
18.05.2020,9281.36
15.05.2020,8976.29
14.05.2020,8946.45
13.05.2020,9123.69
12.05.2020,9326.06
11.05.2020,9155.21
08.05.2020,9165.7
07.05.2020,9104.67
06.05.2020,8997.02
05.05.2020,8922.39
04.05.2020,8683.94
01.05.2020,8791.88
30.04.2020,9005.24
29.04.2020,8871.04
28.04.2020,8913.28
27.04.2020,8865.58
24.04.2020,8666.57
23.04.2020,8693.73
22.04.2020,8575.57
21.04.2020,8639.74
20.04.2020,8742.54
17.04.2020,8876.66
16.04.2020,8689.09
15.04.2020,8548.47
14.04.2020,8489.27
13.04.2020,8209.68
09.04.2020,8284.31
08.04.2020,8134.3
07.04.2020,8287.47
06.04.2020,7819.06
03.04.2020,7631.57
02.04.2020,7445.88
01.04.2020,7582.78
31.03.2020,7855.74
30.03.2020,7678.83
27.03.2020,7657.44
26.03.2020,7549.83
25.03.2020,7543.96
24.03.2020,7349
23.03.2020,6952.71
20.03.2020,7391.21
19.03.2020,7190.21
18.03.2020,7023.86
17.03.2020,7198.53
16.03.2020,7502.26
13.03.2020,7683.04
12.03.2020,7452.76
11.03.2020,8166.26
10.03.2020,8213.97
09.03.2020,7912.14
06.03.2020,8395.95
05.03.2020,8713.19
04.03.2020,8745.64
03.03.2020,8892.68
02.03.2020,8569.91
28.02.2020,8133.85
27.02.2020,8632.54
26.02.2020,8883.01
25.02.2020,9167.33
24.02.2020,9055.3
21.02.2020,9582.54
20.02.2020,9696.66
19.02.2020,9683.94
18.02.2020,9567.28
14.02.2020,9613.88
13.02.2020,9540.67
12.02.2020,9569.82
11.02.2020,9567.82
10.02.2020,9373.2
07.02.2020,9397.76
06.02.2020,9395.69
05.02.2020,9441.34
04.02.2020,9256.94
03.02.2020,9033.52
31.01.2020,9169.91
30.01.2020,9038.92
29.01.2020,9141.52
28.01.2020,9013.23
27.01.2020,8913.16
24.01.2020,9266.35
23.01.2020,9186.14
22.01.2020,9212.35
21.01.2020,9145.64
17.01.2020,9159.48
16.01.2020,9088.08
15.01.2020,9039.31
14.01.2020,9068.02
13.01.2020,9007.94
10.01.2020,9021.88
09.01.2020,8990.04
08.01.2020,8845.45
07.01.2020,8857.14
06.01.2020,8713.89
03.01.2020,8755.17
02.01.2020,8802.22
31.12.2019,8681.33
30.12.2019,8766.39
27.12.2019,8805.86
26.12.2019,8717.95
24.12.2019,8705.3
23.12.2019,8703.06
20.12.2019,8666.57
19.12.2019,8592.68
18.12.2019,8587.2
17.12.2019,8586.33
16.12.2019,8544.26
13.12.2019,8461.42
12.12.2019,8391.92
11.12.2019,8371.65
10.12.2019,8364.55
09.12.2019,8388.75
06.12.2019,8370.23
05.12.2019,8321.19
04.12.2019,8291.86
03.12.2019,8201.63
02.12.2019,8409.87
