Data,Último
08.12.2020,26467.08
07.12.2020,26547.44
04.12.2020,26751.24
03.12.2020,26809.37
02.12.2020,26800.98
01.12.2020,26787.54
30.11.2020,26433.62
27.11.2020,26644.71
26.11.2020,26537.31
25.11.2020,26296.86
24.11.2020,26165.59
20.11.2020,25527.37
19.11.2020,25634.34
18.11.2020,25728.14
17.11.2020,26014.62
16.11.2020,25906.93
13.11.2020,25385.87
12.11.2020,25520.88
11.11.2020,25349.6
10.11.2020,24905.59
09.11.2020,24839.84
06.11.2020,24325.23
05.11.2020,24105.28
04.11.2020,23695.23
02.11.2020,23295.48
30.10.2020,22977.13
29.10.2020,23331.94
28.10.2020,23418.51
27.10.2020,23485.8
26.10.2020,23494.34
23.10.2020,23516.59
22.10.2020,23474.27
21.10.2020,23639.46
20.10.2020,23567.04
19.10.2020,23671.13
16.10.2020,23410.63
15.10.2020,23507.23
14.10.2020,23626.73
13.10.2020,23601.78
12.10.2020,23558.69
09.10.2020,23619.69
08.10.2020,23647.07
07.10.2020,23422.82
06.10.2020,23433.73
05.10.2020,23312.14
02.10.2020,23029.9
01.10.2020,23185.12
30.09.2020,23185.12
29.09.2020,23539.1
28.09.2020,23511.62
25.09.2020,23204.62
24.09.2020,23087.82
23.09.2020,23346.49
18.09.2020,23360.3
17.09.2020,23319.37
16.09.2020,23475.53
15.09.2020,23454.89
14.09.2020,23559.3
11.09.2020,23406.49
10.09.2020,23235.47
09.09.2020,23032.54
08.09.2020,23274.13
07.09.2020,23089.95
04.09.2020,23205.43
03.09.2020,23465.53
02.09.2020,23247.15
01.09.2020,23138.07
31.08.2020,23139.76
28.08.2020,22882.65
27.08.2020,23208.86
26.08.2020,23290.86
25.08.2020,23296.77
24.08.2020,22985.51
21.08.2020,22920.3
20.08.2020,22880.62
19.08.2020,23110.61
18.08.2020,23051.08
17.08.2020,23096.75
14.08.2020,23289.36
13.08.2020,23249.61
12.08.2020,22843.96
11.08.2020,22750.24
07.08.2020,22329.94
06.08.2020,22418.15
05.08.2020,22514.85
04.08.2020,22573.66
03.08.2020,22195.38
31.07.2020,21710
30.07.2020,22339.23
29.07.2020,22397.11
28.07.2020,22657.38
27.07.2020,22715.85
22.07.2020,22751.61
21.07.2020,22884.22
20.07.2020,22717.48
17.07.2020,22696.42
16.07.2020,22770.36
15.07.2020,22945.5
14.07.2020,22587.01
13.07.2020,22784.74
10.07.2020,22290.81
09.07.2020,22529.29
08.07.2020,22438.65
07.07.2020,22614.69
06.07.2020,22714.44
03.07.2020,22306.48
02.07.2020,22145.96
01.07.2020,22121.73
30.06.2020,22288.14
29.06.2020,21995.04
26.06.2020,22512.08
25.06.2020,22259.79
24.06.2020,22534.32
23.06.2020,22549.05
22.06.2020,22437.27
19.06.2020,22478.79
18.06.2020,22355.46
17.06.2020,22455.76
16.06.2020,22582.21
15.06.2020,21530.95
12.06.2020,22305.48
11.06.2020,22472.91
10.06.2020,23124.95
09.06.2020,23091.03
08.06.2020,23178.1
05.06.2020,22863.73
04.06.2020,22695.74
03.06.2020,22613.76
02.06.2020,22325.61
01.06.2020,22062.39
29.05.2020,21877.89
28.05.2020,21916.31
27.05.2020,21419.23
26.05.2020,21271.17
25.05.2020,20741.65
22.05.2020,20388.16
21.05.2020,20552.31
20.05.2020,20595.15
19.05.2020,20433.45
18.05.2020,20133.73
15.05.2020,20037.47
14.05.2020,19914.78
13.05.2020,20267.05
12.05.2020,20366.48
11.05.2020,20390.66
08.05.2020,20179.09
07.05.2020,19674.77
01.05.2020,19619.35
30.04.2020,20193.69
28.04.2020,19771.19
27.04.2020,19783.22
24.04.2020,19262
23.04.2020,19429.44
22.04.2020,19137.95
21.04.2020,19280.78
20.04.2020,19669.12
17.04.2020,19897.26
16.04.2020,19290.2
15.04.2020,19550.09
14.04.2020,19638.81
13.04.2020,19043.4
10.04.2020,19498.5
09.04.2020,19345.77
08.04.2020,19353.24
07.04.2020,18950.18
06.04.2020,18576.3
03.04.2020,17820.19
02.04.2020,17818.72
01.04.2020,18065.41
31.03.2020,18917.01
30.03.2020,19084.97
27.03.2020,19389.43
26.03.2020,18664.6
25.03.2020,19546.63
24.03.2020,18092.35
23.03.2020,16887.78
19.03.2020,16552.83
18.03.2020,16726.55
17.03.2020,17011.53
16.03.2020,17002.04
13.03.2020,17431.05
12.03.2020,18559.63
11.03.2020,19416.06
10.03.2020,19867.12
09.03.2020,19698.76
06.03.2020,20749.75
05.03.2020,21329.12
04.03.2020,21100.06
03.03.2020,21082.73
02.03.2020,21344.08
28.02.2020,21142.96
27.02.2020,21948.23
26.02.2020,22426.19
25.02.2020,22605.41
21.02.2020,23386.74
20.02.2020,23479.15
19.02.2020,23400.7
18.02.2020,23193.8
17.02.2020,23523.24
14.02.2020,23687.59
13.02.2020,23827.73
12.02.2020,23861.21
10.02.2020,23685.98
07.02.2020,23827.98
06.02.2020,23873.59
05.02.2020,23319.56
04.02.2020,23084.59
03.02.2020,22971.94
31.01.2020,23205.18
30.01.2020,22977.75
29.01.2020,23379.4
28.01.2020,23215.71
27.01.2020,23343.51
24.01.2020,23827.18
23.01.2020,23795.44
22.01.2020,24031.35
21.01.2020,23864.56
20.01.2020,24083.51
17.01.2020,24041.26
16.01.2020,23933.13
15.01.2020,23916.58
14.01.2020,24025.17
10.01.2020,23850.57
09.01.2020,23739.87
08.01.2020,23204.76
07.01.2020,23575.72
06.01.2020,23204.86
30.12.2019,23656.62
27.12.2019,23837.72
26.12.2019,23924.92
25.12.2019,23782.87
24.12.2019,23830.58
23.12.2019,23821.11
20.12.2019,23816.63
19.12.2019,23864.85
18.12.2019,23934.43
17.12.2019,24066.12
16.12.2019,23952.35
13.12.2019,24023.1
12.12.2019,23424.81
11.12.2019,23391.86
10.12.2019,23410.19
09.12.2019,23430.7
06.12.2019,23354.4
05.12.2019,23300.09
04.12.2019,23135.23
03.12.2019,23379.81
