Data,Abertura
04.12.2020,3668.25
03.12.2020,3671
02.12.2020,3661.25
01.12.2020,3631
30.11.2020,3643.75
27.11.2020,3630.25
26.11.2020,3631.62
25.11.2020,3635.5
24.11.2020,3576
23.11.2020,3546.5
20.11.2020,3560
19.11.2020,3562
18.11.2020,3604.5
17.11.2020,3625.5
16.11.2020,3587
13.11.2020,3537.5
12.11.2020,3574.5
11.11.2020,3546.25
10.11.2020,3549.5
09.11.2020,3522.5
06.11.2020,3508.75
05.11.2020,3448
04.11.2020,3362.75
03.11.2020,3304
02.11.2020,3260
30.10.2020,3268
29.10.2020,3279
28.10.2020,3369
27.10.2020,3394.25
26.10.2020,3445.75
23.10.2020,3455.75
22.10.2020,3430.25
21.10.2020,3437
20.10.2020,3436
19.10.2020,3471
16.10.2020,3478.5
15.10.2020,3479.25
14.10.2020,3502
13.10.2020,3534
12.10.2020,3467.5
09.10.2020,3447.25
08.10.2020,3406.25
07.10.2020,3338
06.10.2020,3392
05.10.2020,3360
02.10.2020,3367
01.10.2020,3344.75
30.09.2020,3330
29.09.2020,3348.75
28.09.2020,3291
25.09.2020,3243.5
24.09.2020,3228
23.09.2020,3303.75
22.09.2020,3271.5
21.09.2020,3314.5
18.09.2020,3347.88
17.09.2020,3392.75
16.09.2020,3405
15.09.2020,3379.5
14.09.2020,3350
11.09.2020,3345.25
10.09.2020,3396
09.09.2020,3315.25
08.09.2020,3420.5
07.09.2020,3406
06.09.2020,3414.75
04.09.2020,3454.75
03.09.2020,3578.75
02.09.2020,3529
01.09.2020,3493.25
31.08.2020,3508.5
28.08.2020,3488
27.08.2020,3479.5
26.08.2020,3444.75
25.08.2020,3427
24.08.2020,3398.75
21.08.2020,3383.5
20.08.2020,3370.25
19.08.2020,3388.75
18.08.2020,3379.25
17.08.2020,3366
14.08.2020,3369.25
13.08.2020,3367.75
12.08.2020,3339.5
11.08.2020,3350.25
10.08.2020,3347
07.08.2020,3343.75
06.08.2020,3317
05.08.2020,3300.75
04.08.2020,3290.75
03.08.2020,3272
31.07.2020,3269.25
30.07.2020,3256.75
29.07.2020,3215
28.07.2020,3235
27.07.2020,3210.75
24.07.2020,3230
23.07.2020,3267.75
22.07.2020,3249.25
21.07.2020,3243.75
20.07.2020,3214.5
17.07.2020,3198.5
16.07.2020,3223.25
15.07.2020,3204
14.07.2020,3149.75
13.07.2020,3183.5
10.07.2020,3142.25
09.07.2020,3166.25
08.07.2020,3135.25
07.07.2020,3170
06.07.2020,3121.25
