Data,Abertura
03.07.2020,3126.62
02.07.2020,3101.75
01.07.2020,3085.25
30.06.2020,3046
29.06.2020,2986.25
26.06.2020,3071.25
25.06.2020,3046.75
24.06.2020,3113.25
23.06.2020,3111.75
22.06.2020,3040.25
19.06.2020,3108.25
18.06.2020,3115
17.06.2020,3122
16.06.2020,3076.25
15.06.2020,2992.75
12.06.2020,3011.75
11.06.2020,3183.75
10.06.2020,3204.75
09.06.2020,3227.75
08.06.2020,3192.5
05.06.2020,3113.25
04.06.2020,3117.75
03.06.2020,3078
02.06.2020,3052.75
01.06.2020,3029.75
29.05.2020,3036
28.05.2020,3035
27.05.2020,2994
26.05.2020,2948.5
25.05.2020,2967.38
24.05.2020,2947.88
22.05.2020,2936.75
21.05.2020,2972.25
20.05.2020,2913.5
19.05.2020,2945
18.05.2020,2859.75
15.05.2020,2846.25
14.05.2020,2820.25
13.05.2020,2839.75
12.05.2020,2919.25
11.05.2020,2920.75
08.05.2020,2882
07.05.2020,2832
06.05.2020,2857.75
05.05.2020,2827
04.05.2020,2789
01.05.2020,2871.5
30.04.2020,2956.5
29.04.2020,2870.5
28.04.2020,2867.75
27.04.2020,2829
24.04.2020,2777
23.04.2020,2790.5
22.04.2020,2737.25
21.04.2020,2807
20.04.2020,2861.5
17.04.2020,2863
16.04.2020,2767.75
15.04.2020,2843.75
14.04.2020,2760
13.04.2020,2811
10.04.2020,2787.25
09.04.2020,2737.75
08.04.2020,2640.5
07.04.2020,2645.5
06.04.2020,2485
03.04.2020,2513.75
02.04.2020,2459
01.04.2020,2562
31.03.2020,2613.25
30.03.2020,2459
27.03.2020,2627.75
26.03.2020,2471
25.03.2020,2442.75
24.03.2020,2233.25
23.03.2020,2220.25
20.03.2020,2364.25
19.03.2020,2414.25
18.03.2020,2478.5
17.03.2020,2417.25
16.03.2020,2673.75
13.03.2020,2429.5
12.03.2020,2738
11.03.2020,2859.5
10.03.2020,2733
09.03.2020,2916
06.03.2020,3024.25
05.03.2020,3109.25
04.03.2020,2988.25
03.03.2020,3077
02.03.2020,2900
28.02.2020,2950
27.02.2020,3100.25
26.02.2020,3138
25.02.2020,3223
24.02.2020,3309
21.02.2020,3367
20.02.2020,3391.75
19.02.2020,3372
18.02.2020,3382.25
17.02.2020,3387.62
16.02.2020,3382.62
14.02.2020,3379.5
13.02.2020,3381.25
12.02.2020,3360.5
11.02.2020,3351
10.02.2020,3322.25
07.02.2020,3349
06.02.2020,3337
05.02.2020,3300.25
04.02.2020,3244.25
03.02.2020,3222.75
31.01.2020,3292
30.01.2020,3271.5
29.01.2020,3281.75
28.01.2020,3239.5
27.01.2020,3269.75
24.01.2020,3326.5
23.01.2020,3317.25
22.01.2020,3321.25
21.01.2020,3325
20.01.2020,3327.88
17.01.2020,3316.75
16.01.2020,3294.25
15.01.2020,3287.75
14.01.2020,3289.25
13.01.2020,3265.75
10.01.2020,3275.5
09.01.2020,3261.25
08.01.2020,3231.75
07.01.2020,3243.5
06.01.2020,3220.25
03.01.2020,3261
02.01.2020,3237
01.01.2020,3236
31.12.2019,3223.25
30.12.2019,3238.25
27.12.2019,3242
26.12.2019,3227.5
25.12.2019,3226.25
24.12.2019,3228.25
23.12.2019,3227
20.12.2019,3208.5
19.12.2019,3195
18.12.2019,3189.5
17.12.2019,3192.5
16.12.2019,3176.5
13.12.2019,3175.75
12.12.2019,3144
11.12.2019,3135.5
10.12.2019,3133.5
09.12.2019,3146.5
06.12.2019,3117.75
05.12.2019,3111
04.12.2019,3091.75
03.12.2019,3114.25
02.12.2019,3146.25
29.11.2019,3154.75
28.11.2019,3144.62
27.11.2019,3143.75
26.11.2019,3131.25
25.11.2019,3119
22.11.2019,3104
21.11.2019,3097.25
20.11.2019,3116.5
19.11.2019,3121.5
18.11.2019,3119
15.11.2019,3097
14.11.2019,3096.25
13.11.2019,3091.25
12.11.2019,3087.75
11.11.2019,3090.5
08.11.2019,3086.25
07.11.2019,3077.25
06.11.2019,3071.5
05.11.2019,3076.75
04.11.2019,3064.75
01.11.2019,3036
31.10.2019,3051.75
30.10.2019,3036.5
29.10.2019,3038.25
28.10.2019,3023
25.10.2019,3003.75
24.10.2019,3006
23.10.2019,2992
22.10.2019,3006.5
21.10.2019,2984.75
18.10.2019,2997.75
17.10.2019,2992.25
16.10.2019,2996.5
15.10.2019,2966.75
14.10.2019,2968
11.10.2019,2949
10.10.2019,2920.5
09.10.2019,2893.5
08.10.2019,2934.5
07.10.2019,2929.75
04.10.2019,2911.5
03.10.2019,2883.75
02.10.2019,2942.25
01.10.2019,2984
30.09.2019,2976
27.09.2019,2979.75
26.09.2019,2985.75
25.09.2019,2971
24.09.2019,3001
23.09.2019,2995.75
20.09.2019,3005.5
19.09.2019,3008
18.09.2019,3006
17.09.2019,3001.75
16.09.2019,2993.5
13.09.2019,3010
12.09.2019,3003
11.09.2019,2979
10.09.2019,2979.25
09.09.2019,2980.25
06.09.2019,2970.75
05.09.2019,2938
04.09.2019,2903
03.09.2019,2901
02.09.2019,2909.12
01.09.2019,2923.5
30.08.2019,2923.25
29.08.2019,2883.25
28.08.2019,2866.25
27.08.2019,2882.75
26.08.2019,2831
23.08.2019,2920.25
22.08.2019,2931.25
21.08.2019,2893.25
20.08.2019,2921.25
19.08.2019,2893
16.08.2019,2851
15.08.2019,2836
14.08.2019,2931
13.08.2019,2882.25
12.08.2019,2918.75
09.08.2019,2928
08.08.2019,2879
07.08.2019,2873.75
06.08.2019,2816.25
05.08.2019,2929.25
02.08.2019,2950.25
01.08.2019,2970.25
31.07.2019,3016.25
30.07.2019,3022.25
29.07.2019,3022
26.07.2019,3006.5
25.07.2019,3018
24.07.2019,3003
23.07.2019,2988.75
22.07.2019,2974.5
19.07.2019,3003.75
18.07.2019,2980.75
17.07.2019,3005.75
16.07.2019,3017.25
15.07.2019,3015.25
12.07.2019,3003
11.07.2019,2996
10.07.2019,2982.25
09.07.2019,2977.75
08.07.2019,2990.75
05.07.2019,3000.75
04.07.2019,2999.38
03.07.2019,2979
02.07.2019,2968
01.07.2019,2970
28.06.2019,2932.75
27.06.2019,2914.75
26.06.2019,2922.5
25.06.2019,2951
24.06.2019,2948
21.06.2019,2953.75
20.06.2019,2926.75
19.06.2019,2920.5
18.06.2019,2893.5
17.06.2019,2890.75
14.06.2019,2893.75
13.06.2019,2882
12.06.2019,2887.25
11.06.2019,2890.25
10.06.2019,2893.25
07.06.2019,2840
06.06.2019,2820.5
05.06.2019,2806.5
04.06.2019,2754
03.06.2019,2741
31.05.2019,2788.75
30.05.2019,2779.5
29.05.2019,2804.25
28.05.2019,2831
27.05.2019,2829.88
26.05.2019,2830.88
24.05.2019,2821.75
23.05.2019,2857.75
22.05.2019,2864.75
21.05.2019,2848
20.05.2019,2861.5
17.05.2019,2879.75
16.05.2019,2853.5
15.05.2019,2840.75
14.05.2019,2806
13.05.2019,2858.5
10.05.2019,2869.75
09.05.2019,2884
08.05.2019,2889.75
07.05.2019,2911.75
06.05.2019,2917.75
03.05.2019,2918.5
02.05.2019,2916.5
01.05.2019,2955
30.04.2019,2942.5
29.04.2019,2939.25
26.04.2019,2923.75
25.04.2019,2930
24.04.2019,2937.25
23.04.2019,2911.75
22.04.2019,2908.75
19.04.2019,2910.5
18.04.2019,2901
17.04.2019,2910.25
16.04.2019,2910.25
15.04.2019,2912
12.04.2019,2892
11.04.2019,2894.75
10.04.2019,2882
09.04.2019,2898.5
08.04.2019,2896.25
05.04.2019,2882.5
04.04.2019,2880.75
03.04.2019,2866
02.04.2019,2868.5
01.04.2019,2844.5
29.03.2019,2820.5
28.03.2019,2807
27.03.2019,2823.5
26.03.2019,2808.5
25.03.2019,2813
22.03.2019,2859.5
21.03.2019,2823.75
20.03.2019,2837.25
19.03.2019,2841.5
18.03.2019,2827
15.03.2019,2808
14.03.2019,2816
13.03.2019,2792.25
12.03.2019,2784.75
11.03.2019,2745.5
08.03.2019,2749
07.03.2019,2770.5
06.03.2019,2786.5
05.03.2019,2790.5
04.03.2019,2814
01.03.2019,2785.25
28.02.2019,2795.25
27.02.2019,2788
26.02.2019,2795.75
25.02.2019,2799.5
22.02.2019,2773.5
21.02.2019,2787
20.02.2019,2777.75
19.02.2019,2777
18.02.2019,2778.12
17.02.2019,2777.25
15.02.2019,2741.25
14.02.2019,2749.25
13.02.2019,2743.5
12.02.2019,2707
11.02.2019,2710.75
08.02.2019,2702
07.02.2019,2727
06.02.2019,2730.75
05.02.2019,2719.5
04.02.2019,2699.25
01.02.2019,2707.75
31.01.2019,2683.5
30.01.2019,2648.5
29.01.2019,2640.25
28.01.2019,2660
25.01.2019,2636.25
24.01.2019,2635
23.01.2019,2630.75
22.01.2019,2669.25
21.01.2019,2668.12
20.01.2019,2676.5
18.01.2019,2636.75
17.01.2019,2614.5
16.01.2019,2605.75
15.01.2019,2581.5
14.01.2019,2588.5
11.01.2019,2594
10.01.2019,2580
09.01.2019,2569.5
08.01.2019,2553.25
07.01.2019,2537.25
04.01.2019,2451.75
03.01.2019,2482.25
02.01.2019,2508
01.01.2019,2505.25
31.12.2018,2495.5
28.12.2018,2491.5
27.12.2018,2470.25
26.12.2018,2348.5
25.12.2018,2341.5
24.12.2018,2407.75
21.12.2018,2487
20.12.2018,2503.5
19.12.2018,2530.5
18.12.2018,2553.75
17.12.2018,2594
14.12.2018,2646.5
13.12.2018,2653
12.12.2018,2632.5
11.12.2018,2644
10.12.2018,2625
07.12.2018,2694.25
06.12.2018,2713.25
05.12.2018,2699.5
04.12.2018,2789.75
03.12.2018,2793.5
30.11.2018,2742
29.11.2018,2738
28.11.2018,2686.25
27.11.2018,2661
26.11.2018,2633.5
23.11.2018,2650
22.11.2018,2650.5
21.11.2018,2639.75
20.11.2018,2696.25
19.11.2018,2733
16.11.2018,2731.75
15.11.2018,2702
14.11.2018,2731.25
13.11.2018,2732
12.11.2018,2778.75
09.11.2018,2804
08.11.2018,2815.75
07.11.2018,2756.75
06.11.2018,2739
05.11.2018,2722.5
02.11.2018,2724
01.11.2018,2706
31.10.2018,2690.75
30.10.2018,2639
29.10.2018,2667
26.10.2018,2678
25.10.2018,2673.75
24.10.2018,2745.25
23.10.2018,2755.75
22.10.2018,2758
19.10.2018,2774.75
18.10.2018,2813.25
17.10.2018,2816.25
16.10.2018,2747.5
15.10.2018,2770
12.10.2018,2748.5
11.10.2018,2776.5
10.10.2018,2886.75
09.10.2018,2892.25
08.10.2018,2897.5
05.10.2018,2910
04.10.2018,2926
03.10.2018,2929
02.10.2018,2929.25
01.10.2018,2922.5
28.09.2018,2922.25
27.09.2018,2911.5
26.09.2018,2922.5
25.09.2018,2926.5
24.09.2018,2929.5
21.09.2018,2934.75
20.09.2018,2911.25
19.09.2018,2907.75
18.09.2018,2890.5
17.09.2018,2903.5
14.09.2018,2904.75
13.09.2018,2887
12.09.2018,2890
11.09.2018,2879.75
10.09.2018,2873.75
07.09.2018,2877.75
06.09.2018,2888.5
05.09.2018,2898.75
04.09.2018,2906.5
03.09.2018,2906.5
02.09.2018,2906.75
31.08.2018,2898
30.08.2018,2915.75
29.08.2018,2900.5
28.08.2018,2899
27.08.2018,2877.75
24.08.2018,2858.25
23.08.2018,2861.75
22.08.2018,2853
21.08.2018,2856.75
20.08.2018,2851.75
17.08.2018,2843.5
