Data,Último
08.12.2020,3410.18
07.12.2020,3416.6
04.12.2020,3444.58
03.12.2020,3442.14
02.12.2020,3449.38
01.12.2020,3451.94
30.11.2020,3391.76
27.11.2020,3408.31
26.11.2020,3369.73
25.11.2020,3362.33
24.11.2020,3402.82
23.11.2020,3414.49
20.11.2020,3377.73
19.11.2020,3363.09
18.11.2020,3347.3
17.11.2020,3339.9
16.11.2020,3346.97
13.11.2020,3310.1
12.11.2020,3338.68
11.11.2020,3342.2
10.11.2020,3360.15
09.11.2020,3373.73
06.11.2020,3312.16
05.11.2020,3320.13
04.11.2020,3277.44
03.11.2020,3271.07
02.11.2020,3225.12
30.10.2020,3224.53
29.10.2020,3272.73
28.10.2020,3269.24
27.10.2020,3254.32
26.10.2020,3251.12
23.10.2020,3278
22.10.2020,3312.5
21.10.2020,3325.02
20.10.2020,3328.1
19.10.2020,3312.67
16.10.2020,3336.36
15.10.2020,3332.18
14.10.2020,3340.78
13.10.2020,3359.75
12.10.2020,3358.47
09.10.2020,3272.08
30.09.2020,3218.05
29.09.2020,3224.36
28.09.2020,3217.53
25.09.2020,3219.42
24.09.2020,3223.18
23.09.2020,3279.71
22.09.2020,3274.3
21.09.2020,3316.94
18.09.2020,3338.09
17.09.2020,3270.44
16.09.2020,3283.92
15.09.2020,3295.68
14.09.2020,3278.81
11.09.2020,3260.35
10.09.2020,3234.82
09.09.2020,3254.63
08.09.2020,3316.42
07.09.2020,3292.59
04.09.2020,3355.37
03.09.2020,3384.98
02.09.2020,3404.8
01.09.2020,3410.61
31.08.2020,3395.68
28.08.2020,3403.81
27.08.2020,3350.11
26.08.2020,3329.74
25.08.2020,3373.58
24.08.2020,3385.64
21.08.2020,3380.68
20.08.2020,3363.9
19.08.2020,3408.13
18.08.2020,3451.09
17.08.2020,3438.8
14.08.2020,3360.1
13.08.2020,3320.73
12.08.2020,3319.27
11.08.2020,3340.29
10.08.2020,3379.25
07.08.2020,3354.04
06.08.2020,3386.46
05.08.2020,3377.56
04.08.2020,3371.69
03.08.2020,3367.97
31.07.2020,3310.01
30.07.2020,3286.82
29.07.2020,3294.55
28.07.2020,3227.96
27.07.2020,3205.23
24.07.2020,3196.77
23.07.2020,3325.11
22.07.2020,3333.16
21.07.2020,3320.89
20.07.2020,3314.15
17.07.2020,3214.13
16.07.2020,3210.1
15.07.2020,3361.3
14.07.2020,3414.62
13.07.2020,3443.29
10.07.2020,3383.32
09.07.2020,3450.59
08.07.2020,3403.44
07.07.2020,3345.34
06.07.2020,3332.88
03.07.2020,3152.81
02.07.2020,3090.57
01.07.2020,3025.98
30.06.2020,2984.67
29.06.2020,2961.52
24.06.2020,2979.55
23.06.2020,2970.62
22.06.2020,2965.27
19.06.2020,2967.63
18.06.2020,2939.32
17.06.2020,2935.87
16.06.2020,2931.75
15.06.2020,2890.03
12.06.2020,2919.74
11.06.2020,2920.9
10.06.2020,2943.75
09.06.2020,2956.11
08.06.2020,2937.77
05.06.2020,2930.8
04.06.2020,2919.25
03.06.2020,2923.37
02.06.2020,2921.4
01.06.2020,2915.43
29.05.2020,2852.35
28.05.2020,2846.22
27.05.2020,2836.8
26.05.2020,2846.55
25.05.2020,2817.97
22.05.2020,2813.77
21.05.2020,2867.92
20.05.2020,2883.74
19.05.2020,2898.58
18.05.2020,2875.42
15.05.2020,2868.46
14.05.2020,2870.34
13.05.2020,2898.05
12.05.2020,2891.56
11.05.2020,2894.8
08.05.2020,2895.34
07.05.2020,2871.52
06.05.2020,2878.14
30.04.2020,2860.08
29.04.2020,2822.44
28.04.2020,2810.02
27.04.2020,2815.49
24.04.2020,2808.53
23.04.2020,2838.5
22.04.2020,2843.98
21.04.2020,2827.01
20.04.2020,2852.55
17.04.2020,2838.49
16.04.2020,2819.94
15.04.2020,2811.17
14.04.2020,2827.28
13.04.2020,2783.05
10.04.2020,2796.63
09.04.2020,2825.9
08.04.2020,2815.37
07.04.2020,2820.76
03.04.2020,2763.99
02.04.2020,2780.64
01.04.2020,2734.52
31.03.2020,2750.3
30.03.2020,2747.21
27.03.2020,2772.2
26.03.2020,2764.91
25.03.2020,2781.59
24.03.2020,2722.44
23.03.2020,2660.17
20.03.2020,2745.62
19.03.2020,2702.13
18.03.2020,2728.76
17.03.2020,2779.64
16.03.2020,2789.25
13.03.2020,2887.43
12.03.2020,2923.49
11.03.2020,2968.52
10.03.2020,2996.76
09.03.2020,2943.29
06.03.2020,3034.51
05.03.2020,3071.68
04.03.2020,3011.67
03.03.2020,2992.9
02.03.2020,2970.93
28.02.2020,2880.3
27.02.2020,2991.33
26.02.2020,2987.93
25.02.2020,3013.05
24.02.2020,3031.23
21.02.2020,3039.67
20.02.2020,3030.15
19.02.2020,2975.4
18.02.2020,2984.97
17.02.2020,2983.62
14.02.2020,2917.01
13.02.2020,2906.07
12.02.2020,2926.9
11.02.2020,2901.67
10.02.2020,2890.49
07.02.2020,2875.96
06.02.2020,2866.51
05.02.2020,2818.09
04.02.2020,2783.29
03.02.2020,2746.61
23.01.2020,2976.53
22.01.2020,3060.75
21.01.2020,3052.14
20.01.2020,3095.79
17.01.2020,3075.5
16.01.2020,3074.08
